# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 767174
# D1D2.size2 = 767174
# D1R2.size1 = 767174
# D1R2.size2 = 20539201
# R1D2.size1 = 20539201
# R1D2.size2 = 767174
# R1R2.size1 = 20539201
# R1R2.size2 = 20539201
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454380511917e-01 2.429115749898e+02
4.439475303322e-01 4.461680382420e-01 2.033520811213e+02
5.733802840848e-01 5.761388545377e-01 1.502254126642e+02
7.405491138359e-01 7.440849556963e-01 1.215120126356e+02
9.564559599018e-01 9.610214820390e-01 1.145040394045e+02
1.235310374613e+00 1.241511010725e+00 1.028058602036e+02
1.595464700520e+00 1.603799546890e+00 9.074448800599e+01
2.060621899500e+00 2.071447375093e+00 7.376811445760e+01
2.661395524022e+00 2.675354487940e+00 6.333121016815e+01
3.437324497522e+00 3.455282621169e+00 5.114276092820e+01
4.439475303322e+00 4.462680400433e+00 4.221678888151e+01
5.733802840848e+00 5.763710360773e+00 3.462392801362e+01
7.405491138359e+00 7.444218493989e+00 2.761996961587e+01
9.564559599018e+00 9.614265277364e+00 2.169239684428e+01
1.235310374613e+01 1.241700824138e+01 1.652128012214e+01
1.595464700520e+01 1.603616912081e+01 1.242400542441e+01
2.060621899500e+01 2.071040961926e+01 8.736000093360e+00
2.661395524022e+01 2.674713793377e+01 5.899289218556e+00
