# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 757690
# D1D2.size2 = 757690
# D1R2.size1 = 757690
# D1R2.size2 = 20443557
# R1D2.size1 = 20443557
# R1D2.size2 = 757690
# R1R2.size1 = 20443557
# R1R2.size2 = 20443557
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454339737614e-01 2.375879343291e+02
4.439475303322e-01 4.461713944594e-01 2.010635915763e+02
5.733802840848e-01 5.761252437047e-01 1.476733131178e+02
7.405491138359e-01 7.440815644582e-01 1.196002627292e+02
9.564559599018e-01 9.610043239746e-01 1.136545477167e+02
1.235310374613e+00 1.241498695508e+00 1.022532894595e+02
1.595464700520e+00 1.603797077147e+00 9.088529355995e+01
2.060621899500e+00 2.071446977437e+00 7.346677871339e+01
2.661395524022e+00 2.675346944290e+00 6.310773575510e+01
3.437324497522e+00 3.455271200636e+00 5.102012430806e+01
4.439475303322e+00 4.462676080501e+00 4.209439059820e+01
5.733802840848e+00 5.763699272003e+00 3.453807379003e+01
7.405491138359e+00 7.444194844836e+00 2.750968915827e+01
9.564559599018e+00 9.614218681146e+00 2.163067469731e+01
1.235310374613e+01 1.241694249491e+01 1.648097397409e+01
1.595464700520e+01 1.603604155620e+01 1.239974765902e+01
2.060621899500e+01 2.071019813868e+01 8.714783202191e+00
2.661395524022e+01 2.674678002656e+01 5.864552265389e+00
