alpha_s,c_ratio,c_ref,c_sat,central_log10N_median_selected,central_log10N_min_selected,chi2_density,chi2_total,chi2_wp,chi2_xi0,chi2_xi2,concentration_ratio,f_sat_actual,f_sat_target,model,model_number_density_h3_mpc3,n_allowed_sat_candidates,n_cen_target,n_gal,n_sat,n_sat_target,observed_number_density_h3_mpc3,particle_mass_hinv_msun,sat_r_over_r200m_median,sat_radius_scale_median,sat_radius_scale_p16,sat_radius_scale_p84,satellite_log10N_median_selected,satellite_power,sigma_logm,status,traceback
1.3,1.0,5.0,5.0,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,414.41577840147545,356.7819446674109,44.65041060789611,12.98342312616823,1.0,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.0000000003687424,0.99999999922646,1.00000000075647,4.596750995512816,1.0,0.25,ok,
0.7,1.0,5.0,5.0,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,428.4336222608135,356.7998223598489,42.177648475906196,29.456151425058216,1.0,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.0000000003687424,0.99999999922646,1.00000000075647,4.596750995512816,1.0,0.25,ok,
1.1,0.7,5.0,3.5,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,439.8107671841257,385.58510838641666,44.2322072816562,9.993451516052708,0.7,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.1023373115547914,1.046431278284037,1.1717863290703596,4.596750995512816,1.0,0.25,ok,
1.3,0.7,5.0,3.5,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,443.23510952139156,385.56999639431893,44.65335381617474,13.01175931089772,0.7,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.1023373115547914,1.046431278284037,1.1717863290703596,4.596750995512816,1.0,0.25,ok,
0.7,0.7,5.0,3.5,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,457.22639884593497,385.58262870899995,42.182821591704055,29.46094854523076,0.7,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.1023373115547914,1.046431278284037,1.1717863290703596,4.596750995512816,1.0,0.25,ok,
1.1,0.5,5.0,2.5,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,464.1322271655045,409.9163187274547,44.23239092879614,9.98351750925344,0.5,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.1946050300711661,1.0858928953980072,1.3384865711108607,4.596750995512816,1.0,0.25,ok,
1.3,0.5,5.0,2.5,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,467.57173026295465,409.9147032002812,44.65442952096928,13.00259754170398,0.5,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.1946050300711661,1.0858928953980072,1.3384865711108607,4.596750995512816,1.0,0.25,ok,
0.7,0.5,5.0,2.5,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,481.5532036945288,409.898619189839,42.190869360230685,29.46371514445895,0.5,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.1946050300711661,1.0858928953980072,1.3384865711108607,4.596750995512816,1.0,0.25,ok,
1.1,0.35,5.0,1.75,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,484.7628627633613,430.5430262352867,44.23348997873097,9.986346549343475,0.35,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.2848269796968232,1.1224712964480419,1.5130523422005626,4.596750995512816,1.0,0.25,ok,
1.3,0.35,5.0,1.75,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,488.21265946825287,430.5484556935653,44.65346500638804,13.010738768299378,0.35,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.2848269796968232,1.1224712964480419,1.5130523422005626,4.596750995512816,1.0,0.25,ok,
0.7,0.35,5.0,1.75,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,502.19230101199827,430.53867228969943,42.19472739222852,29.458901330070134,0.35,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.2848269796968232,1.1224712964480419,1.5130523422005626,4.596750995512816,1.0,0.25,ok,
0.7,1.3,5.0,6.5,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,849.9577308681074,665.4331662145523,77.05378028036597,107.47078437318889,1.3,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,0.9237914068835963,0.8805054219442666,0.9633943214795246,4.594503043820089,1.0,0.25,ok,
1.3,1.3,5.0,6.5,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,869.3767171544883,665.462397058234,80.76860338256247,123.14571671369158,1.3,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,0.9237914068835963,0.8805054219442666,0.9633943214795246,4.594503043820089,1.0,0.25,ok,
