model_id,component,n_bins,f_sat_target,alpha_s,f_sat_actual,rms_fractional_residual,mean_abs_fractional_residual,chi2_diag_jk_raw,rms_pull_jk,selected_for_paper,selection_reason,diagcov_chi2_total,diagcov_chi2_cov,diagcov_chi2_total_cov,diagcov_chi2_xi0,diagcov_chi2_xi2,diagcov_chi2_wp,diagcov_rank,fullcov_chi2_total,fullcov_chi2_cov,fullcov_chi2_total_cov,fullcov_chi2_xi0,fullcov_chi2_xi2,fullcov_chi2_wp,fullcov_rank
tng3002_fsat0p080_alphaS0p600,all,72,0.08,0.6,0.07991266375545851,1.0536932866619328,0.5360045642149789,11273.506387318668,12.5130522895754,0,,800.0219794642396,2610.706742326428,2610.706742509612,258.88664360672675,447.2847627703312,93.85057290399774,24,800.0219794642396,1262.2314259217726,1262.2314261049564,258.88664360672675,447.2847627703312,93.85057290399774,24
tng3002_fsat0p080_alphaS0p600,wp,16,0.08,0.6,0.07991266375545851,0.2982872028513761,0.2317453173165102,1813.058351799102,10.645005729798546,0,,800.0219794642396,2610.706742326428,2610.706742509612,258.88664360672675,447.2847627703312,93.85057290399774,24,800.0219794642396,1262.2314259217726,1262.2314261049564,258.88664360672675,447.2847627703312,93.85057290399774,24
tng3002_fsat0p080_alphaS0p600,xi0,28,0.08,0.6,0.07991266375545851,0.7420642933495493,0.5088407905839554,6283.356967917105,14.980173763913402,0,,800.0219794642396,2610.706742326428,2610.706742509612,258.88664360672675,447.2847627703312,93.85057290399774,24,800.0219794642396,1262.2314259217726,1262.2314261049564,258.88664360672675,447.2847627703312,93.85057290399774,24
tng3002_fsat0p080_alphaS0p600,xi2,28,0.08,0.6,0.07991266375545851,1.5011583542920413,0.7370307646451274,3177.091067602462,10.652114256271352,0,,800.0219794642396,2610.706742326428,2610.706742509612,258.88664360672675,447.2847627703312,93.85057290399774,24,800.0219794642396,1262.2314259217726,1262.2314261049564,258.88664360672675,447.2847627703312,93.85057290399774,24
tng3002_fsat0p080_alphaS0p800,all,72,0.08,0.8,0.07991266375545851,0.8765529625030174,0.49626074972086914,10376.10377149405,12.004688766555416,0,,612.29142273945,2402.887189188096,2402.88718937128,255.6127828819993,263.5861488471767,93.09249082709024,22,612.29142273945,1091.777148256986,1091.7771484401699,255.6127828819993,263.5861488471767,93.09249082709024,16
tng3002_fsat0p080_alphaS0p800,wp,16,0.08,0.8,0.07991266375545851,0.2968704369988252,0.23104715315995228,1802.955467337252,10.615305775557209,0,,612.29142273945,2402.887189188096,2402.88718937128,255.6127828819993,263.5861488471767,93.09249082709024,22,612.29142273945,1091.777148256986,1091.7771484401699,255.6127828819993,263.5861488471767,93.09249082709024,16
tng3002_fsat0p080_alphaS0p800,xi0,28,0.08,0.8,0.07991266375545851,0.7498477924926235,0.5089802752994158,6158.208562987907,14.830240055599603,0,,612.29142273945,2402.887189188096,2402.88718937128,255.6127828819993,263.5861488471767,93.09249082709024,22,612.29142273945,1091.777148256986,1091.7771484401699,255.6127828819993,263.5861488471767,93.09249082709024,16
tng3002_fsat0p080_alphaS0p800,xi2,28,0.08,0.8,0.07991266375545851,1.1675237238649754,0.6350918507485607,2414.939741168889,9.28697194455162,0,,612.29142273945,2402.887189188096,2402.88718937128,255.6127828819993,263.5861488471767,93.09249082709024,22,612.29142273945,1091.777148256986,1091.7771484401699,255.6127828819993,263.5861488471767,93.09249082709024,16
tng3002_fsat0p080_alphaS1p000,all,72,0.08,1.0,0.07991266375545851,0.769896341251452,0.47096670840131716,9846.172187227921,11.694117815777156,0,,513.1794876556548,2280.166190726466,2280.16619090965,249.53468897121235,171.33146383982873,92.31333466142998,19,513.1794876556548,1033.884298923315,1033.884299106499,249.53468897121235,171.33146383982873,92.31333466142998,14
tng3002_fsat0p080_alphaS1p000,wp,16,0.08,1.0,0.07991266375545851,0.29576008260368764,0.22968213799108653,1792.163129786708,10.58348693067031,0,,513.1794876556548,2280.166190726466,2280.16619090965,249.53468897121235,171.33146383982873,92.31333466142998,19,513.1794876556548,1033.884298923315,1033.884299106499,249.53468897121235,171.33146383982873,92.31333466142998,14
