model_id,model_label,selected_for_paper,selection_reason,f_sat_target,alpha_s,n_gal,n_sat,f_sat_actual,model_number_density_h3_mpc3,index,component,statistic,ell,r,data_value,model_value,residual,fractional_residual,sigma_jk,pull_jk,diagcov_chi2_total,diagcov_chi2_cov,diagcov_chi2_total_cov,diagcov_chi2_xi0,diagcov_chi2_xi2,diagcov_chi2_wp,diagcov_rank,fullcov_chi2_total,fullcov_chi2_cov,fullcov_chi2_total_cov,fullcov_chi2_xi0,fullcov_chi2_xi2,fullcov_chi2_wp,fullcov_rank
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,0,wp,wp,-1,0.5761356451482574,149.51176990606234,212.47488241748283,62.96311251142049,0.4211247887104806,5.865219849293783,10.734996151764324,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,1,wp,wp,-1,0.7440818690302262,121.03230399888947,177.77547334727862,56.743169348389145,0.46882664770977,4.57043295908947,12.41527221956968,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,2,wp,wp,-1,0.9610170497889371,114.26425022791021,138.4864714250524,24.22222119714219,0.21198424834389423,2.5161277224770977,9.626785230638333,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,3,wp,wp,-1,1.2415081573690936,102.69740736077637,111.15780205180185,8.460394691025485,0.08238177485147301,1.7131764815272914,4.938425656814451,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,4,wp,wp,-1,1.6037983331351233,90.85959457760322,85.94447657592549,-4.915118001677726,-0.054095750971898976,1.1884423909550974,-4.1357646269481085,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,5,wp,wp,-1,2.0714477629787083,73.73338067340984,77.47941470373553,3.7460340303256885,0.050805130540781035,1.0170118355224675,3.683373093098022,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,6,wp,wp,-1,2.6753529170231105,63.33993711064611,63.65513717245491,0.31520006180879534,0.00497632419903077,0.9093219134981789,0.3466319871212766,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,7,wp,wp,-1,3.4552810127626836,51.078412803609105,50.702816382262164,-0.37559642134694116,-0.007353329924151485,0.8167520817961734,-0.45986588797048705,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,8,wp,wp,-1,4.462678487403257,42.182354531502014,43.339594179230026,1.1572396477280122,0.027434211783123184,0.7297684615007346,1.5857627573384072,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,9,wp,wp,-1,5.763705166875068,34.61043607011526,32.47375617112212,-2.136679898993144,-0.06173513372280456,0.6227313047655263,-3.431142585320416,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,10,wp,wp,-1,7.444209778763199,27.626231273018277,22.713526814680634,-4.912704458337643,-0.17782752956012993,0.5683307972148689,-8.644093338620001,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,11,wp,wp,-1,9.614254566531134,21.673091239042108,16.687953157819113,-4.9851380812229955,-0.23001509227454925,0.44384098768327995,-11.23181098538005,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,12,wp,wp,-1,12.416991298325703,16.49388969489596,13.83861889604108,-2.655270798854879,-0.16098511921518147,0.4164457385153258,-6.376030664453927,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,13,wp,wp,-1,16.03613754282894,12.415299139179757,8.10437418970981,-4.310924949469946,-0.347226828861955,0.37608707985526185,-11.462571251128908,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,14,wp,wp,-1,20.710355722655805,8.726540348275991,4.95361300748337,-3.772927340792621,-0.4323508733375647,0.30876294768627544,-12.219495146892356,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,15,wp,wp,-1,26.747045170628947,5.884138107133717,0.9582706824208742,-4.925867424712843,-0.8371434074161004,0.2649666429836783,-18.590519052680424,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,16,xi0,xi,0,5.12893551095799,2.832043528005319,2.286262349617484,-0.545781178387835,-0.19271638058905213,0.01826624490952059,-29.87922154177223,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,17,xi0,xi,0,7.0926598262423175,1.6797463979168903,1.7818425128654316,0.10209611494854132,0.060780672055706815,0.012429111922246893,8.21427271612216,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
tng3002_fsat0p160_alphaS1p000,"f_sat=0.16, alpha_s=1.0",1,diagcov_top5;fullcov_top5,0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,18,xi0,xi,0,9.071987614253018,1.0957501283709288,1.1277400077730042,0.03198987940207543,0.02919450208017347,0.008902107551328304,3.5935175145465577,354.68108459148607,1464.5879166308148,1464.5879168139986,180.4134966065304,66.76533185557054,107.50225594620127,2,354.68108459148607,785.8677629602713,785.8677631434551,180.4134966065304,66.76533185557054,107.50225594620127,2
