rp_Mpch,wp
3.454364815581559278e-01,2.426976731862093857e+02
4.461669487195601413e-01,2.023390101866386601e+02
5.761348875436214101e-01,1.499753758855113119e+02
7.440799245151502594e-01,1.215462078320098982e+02
9.610181867365559238e-01,1.144326515615112356e+02
1.241510490281704016e+00,1.025294928542480619e+02
1.603797810478534203e+00,9.070582726591271694e+01
2.071445939068422781e+00,7.371202028962903796e+01
2.675352241962157152e+00,6.329979815108883656e+01
3.455278433194555632e+00,5.105612866198665500e+01
4.462673408133684738e+00,4.212126253535406306e+01
5.763700654036611581e+00,3.463387109412393983e+01
7.444199680870810631e+00,2.764112190752196341e+01
9.614230767663272559e+00,2.169831063347918132e+01
1.241695769721427034e+01,1.649823608950671883e+01
1.603607689196186925e+01,1.244270823273844684e+01
2.071025230193322741e+01,8.712332774181472672e+00
2.674688137058049975e+01,5.900782092125536948e+00
