rp_Mpch,wp
3.454365433972960697e-01,2.426380922256977328e+02
4.461680901510126085e-01,2.032988793155226972e+02
5.761380748597364487e-01,1.498059152706460395e+02
7.440843564129620002e-01,1.214247025438530727e+02
9.610218107009020905e-01,1.144175627066963870e+02
1.241511065014970550e+00,1.027285774747466292e+02
1.603799743842830861e+00,9.084778167503475288e+01
2.071448139804409561e+00,7.376771248184735441e+01
2.675355303308507793e+00,6.334087444324700300e+01
3.455283743341559966e+00,5.108563614654352847e+01
4.462680628924152515e+00,4.221648137866918660e+01
5.763708002051187940e+00,3.459944058370140141e+01
7.444214320618899983e+00,2.763692536828450841e+01
9.614264915975200054e+00,2.167201440151655234e+01
1.241700460087060520e+01,1.649436255391007222e+01
1.603615890586189963e+01,1.241588094689985056e+01
2.071039150002657436e+01,8.726785227492236174e+00
2.674709656474585984e+01,5.885685534110509209e+00
