rp_Mpch,wp
3.454346856033490010e-01,2.406347092207514606e+02
4.461594950482064004e-01,2.019109230875637877e+02
5.761277261107317083e-01,1.488877763476072573e+02
7.440789856536204061e-01,1.209383812650038266e+02
9.610075972343892214e-01,1.144383438932964197e+02
1.241510893035907337e+00,1.024865809930500120e+02
1.603795333710440696e+00,9.104623111939871194e+01
2.071448440760846221e+00,7.366440568001036127e+01
2.675346122458184706e+00,6.349636995075328372e+01
3.455274874203434265e+00,5.117262593165027340e+01
4.462673257995902532e+00,4.225918290739086558e+01
5.763681064259002618e+00,3.471881067087399231e+01
7.444176041904189134e+00,2.770856491000031241e+01
9.614197893349201607e+00,2.169300428472726239e+01
1.241691880495246636e+01,1.653496730193056052e+01
1.603600834812335663e+01,1.242429716418674346e+01
2.071015655904650998e+01,8.736312111922421408e+00
2.674671721139873881e+01,5.885053218951446397e+00
