# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 763100
# D1D2.size2 = 763100
# D1R2.size1 = 763100
# D1R2.size2 = 20512426
# R1D2.size1 = 20512426
# R1D2.size2 = 763100
# R1R2.size1 = 20512426
# R1R2.size2 = 20512426
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454388436828e-01 2.411433546616e+02
4.439475303322e-01 4.461622889416e-01 2.033210526739e+02
5.733802840848e-01 5.761349270853e-01 1.495777500525e+02
7.405491138359e-01 7.440793613418e-01 1.209169628237e+02
9.564559599018e-01 9.610124894841e-01 1.144296705233e+02
1.235310374613e+00 1.241505384290e+00 1.028312906806e+02
1.595464700520e+00 1.603799496879e+00 9.073370013443e+01
2.060621899500e+00 2.071445988834e+00 7.389725422277e+01
2.661395524022e+00 2.675353396133e+00 6.345008271607e+01
3.437324497522e+00 3.455279560800e+00 5.112727442392e+01
4.439475303322e+00 4.462676553149e+00 4.225248499019e+01
5.733802840848e+00 5.763703770791e+00 3.461290712825e+01
7.405491138359e+00 7.444201420726e+00 2.764009708410e+01
9.564559599018e+00 9.614244336883e+00 2.170961007463e+01
1.235310374613e+01 1.241697792664e+01 1.649639778321e+01
1.595464700520e+01 1.603608897035e+01 1.242989898003e+01
2.060621899500e+01 2.071028259847e+01 8.728297384025e+00
2.661395524022e+01 2.674693902483e+01 5.896978985335e+00
