# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 765498
# D1D2.size2 = 765498
# D1R2.size1 = 765498
# D1R2.size2 = 20562082
# R1D2.size1 = 20562082
# R1D2.size2 = 765498
# R1R2.size1 = 20562082
# R1R2.size2 = 20562082
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454364445669e-01 2.402359681978e+02
4.439475303322e-01 4.461641629734e-01 2.018765061952e+02
5.733802840848e-01 5.761349730948e-01 1.489688514177e+02
7.405491138359e-01 7.440761788847e-01 1.204389431881e+02
9.564559599018e-01 9.610120658523e-01 1.133638880483e+02
1.235310374613e+00 1.241506057444e+00 1.024535845466e+02
1.595464700520e+00 1.603798622028e+00 9.081148307884e+01
2.060621899500e+00 2.071444085123e+00 7.358354196269e+01
2.661395524022e+00 2.675345506882e+00 6.319465782394e+01
3.437324497522e+00 3.455275663633e+00 5.089439014220e+01
4.439475303322e+00 4.462670530158e+00 4.205557735247e+01
5.733802840848e+00 5.763688980525e+00 3.446942070978e+01
7.405491138359e+00 7.444183127127e+00 2.753709227401e+01
9.564559599018e+00 9.614211607950e+00 2.161013396331e+01
1.235310374613e+01 1.241693609143e+01 1.642245946906e+01
1.595464700520e+01 1.603603859612e+01 1.238709127892e+01
2.060621899500e+01 2.071019039371e+01 8.698425167270e+00
2.661395524022e+01 2.674677764614e+01 5.861943827322e+00
