alpha_s,central_log10N_median_selected,central_log10N_min_selected,chi2_density,chi2_total,chi2_wp,chi2_xi0,chi2_xi2,f_sat_actual,f_sat_target,model,model_number_density_h3_mpc3,n_allowed_sat_candidates,n_cen_target,n_gal,n_sat,n_sat_target,observed_number_density_h3_mpc3,radial_scale,satellite_log10N_median_selected,satellite_power,sigma_logm,status,traceback
1.1,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,222.34817637204787,161.9460481675514,44.68515135949662,15.716976844999687,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,4.0,4.596750995512816,1.0,0.25,ok,
1.3,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,229.12469905219868,161.98809781665935,45.03241921382673,22.10418202171244,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,4.0,4.596750995512816,1.0,0.25,ok,
1.1,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,236.57110402821513,78.14279190551026,20.732783704158297,137.69552841854642,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,4.0,4.59847314801658,1.0,0.25,ok,
0.7,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,242.5159956205112,161.90687152240466,42.952525770052254,37.65659832805411,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,4.0,4.596750995512816,1.0,0.25,ok,
1.3,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,243.80064281774256,78.155700023349,21.03417993122393,144.61076286316947,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,4.0,4.59847314801658,1.0,0.25,ok,
1.1,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,245.41953359890437,101.9823523858801,20.667646121439486,122.76953509158461,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,3.0,4.59847314801658,1.0,0.25,ok,
1.3,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,253.07721730311545,101.98395264669905,20.981109996838857,130.11215465957736,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,3.0,4.59847314801658,1.0,0.25,ok,
1.1,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,274.18774799870806,139.6506215119966,20.62161619907519,113.91551028763614,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2.0,4.59847314801658,1.0,0.25,ok,
1.1,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,277.5638640578875,221.68850359160848,44.466637249526876,11.408723216751973,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,3.0,4.596750995512816,1.0,0.25,ok,
0.7,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,277.8655712753845,78.10002851575892,19.670368785130247,180.0951739744952,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,4.0,4.59847314801658,1.0,0.25,ok,
1.3,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,282.05855265447013,139.6712709675923,20.94153787054347,121.44574381633417,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2.0,4.59847314801658,1.0,0.25,ok,
1.1,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,282.60774684817244,151.74552731191378,20.5967819781079,110.26543755815055,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,1.0,4.59847314801658,1.0,0.25,ok,
1.3,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,282.87084117007777,221.73076950768237,44.85190947498393,16.28816218741132,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,3.0,4.596750995512816,1.0,0.25,ok,
0.7,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,287.6002110044271,101.93459444667118,19.56013729377934,166.10547926397638,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,3.0,4.59847314801658,1.0,0.25,ok,
1.3,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,289.8865017946044,151.73921522000364,20.91662068579321,117.23066588880737,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,1.0,4.59847314801658,1.0,0.25,ok,
1.1,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,291.3332834775925,159.24530154256877,20.607997164470525,111.479984770553,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,1.5,4.59847314801658,1.0,0.25,ok,
0.7,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,296.206252682057,221.61302400032608,42.57052382995456,32.02270485177625,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,3.0,4.596750995512816,1.0,0.25,ok,
1.3,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,298.8851235462573,159.24190660683996,20.92644190623085,118.71677503318634,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,1.5,4.59847314801658,1.0,0.25,ok,
0.7,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,316.8836785352472,139.59775903737716,19.493535212601145,157.79238428526872,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2.0,4.59847314801658,1.0,0.25,ok,
0.7,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,326.2182973999459,151.72928620353426,19.444043890477065,155.0449673059344,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,1.0,4.59847314801658,1.0,0.25,ok,
0.7,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,334.5719490359085,159.1991984381953,19.460675663135344,155.91207493457767,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,1.5,4.59847314801658,1.0,0.25,ok,
1.1,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,373.69104801389443,319.1635665166416,44.31629695508979,10.211184542162872,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2.0,4.596750995512816,1.0,0.25,ok,
1.3,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,377.7859984929118,319.23747998337103,44.72245356731393,13.82606494222668,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2.0,4.596750995512816,1.0,0.25,ok,
0.7,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,391.4046471625948,319.1099505998087,42.32494595043209,29.96975061235382,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2.0,4.596750995512816,1.0,0.25,ok,
1.1,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,411.03666900167894,356.8063741463949,44.22674457301104,10.003550282272862,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,1.0,4.596750995512816,1.0,0.25,ok,
1.3,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,414.41855594965034,356.78472221561356,44.65041060786593,12.983423126170704,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,1.0,4.596750995512816,1.0,0.25,ok,
0.7,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,428.4364002829844,356.80260038206353,42.1776484758587,29.456151425061975,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,1.0,4.596750995512816,1.0,0.25,ok,
1.1,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,428.7103198302685,374.39042662367683,44.26435890366535,10.0555343029261,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,1.5,4.596750995512816,1.0,0.25,ok,
1.3,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,432.3340689805854,374.4071434511364,44.67401683473415,13.252908694714726,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,1.5,4.596750995512816,1.0,0.25,ok,
0.7,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,433.2095440688839,296.09349025499415,78.81556566409965,58.300488149789906,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,4.0,4.594503043820089,1.0,0.25,ok,
0.7,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,446.18521631264935,374.34427630000476,42.233537773767935,29.607402238876485,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,1.5,4.596750995512816,1.0,0.25,ok,
