label,split,covariance_mode,hartlap_scale,f_sat_target,alpha_s,radial_scale,f_sat_actual,chi2,source_chi2_total,source_chi2_wp,source_chi2_xi0,source_chi2_xi2
sham_profile,joint,diagonal,0.23157894736842105,0.04,1.1,4.0,0.03999988713084733,1347.472454287982,236.94399390811873,168.59488544057913,43.110304968479404,25.23880349906002
sham_profile,joint,diagonal,0.23157894736842105,0.04,0.7,4.0,0.03999988713084733,1401.1555273635297,228.93644918260404,168.5917406549538,42.1581896926256,18.18651883502445
sham_profile,joint,diagonal,0.23157894736842105,0.04,1.1,3.0,0.03999988713084733,1595.4130582669607,303.2945852999511,246.3742727493239,42.785632488719955,14.13468006190711
sham_profile,joint,diagonal,0.23157894736842105,0.04,0.7,3.0,0.03999988713084733,1648.2626019543325,304.0668819336918,246.38618956040762,41.55820790693786,16.12248446634611
sham_profile,joint,diagonal,0.23157894736842105,0.04,1.1,1.0,0.03999988713084733,1886.6632180451818,685.1939443802282,631.5632687278398,42.465157966811375,11.165517685576846
sham_profile,joint,diagonal,0.23157894736842105,0.04,1.1,2.0,0.03999988713084733,1922.4055543372099,457.95688717861253,404.0084248841327,42.58613028931792,11.362332005161754
sham_profile,joint,diagonal,0.23157894736842105,0.04,0.7,1.0,0.03999988713084733,1941.554822179531,695.4796968529492,631.5217361675935,40.992407233975115,22.9655534513804
sham_profile,joint,diagonal,0.23157894736842105,0.04,0.7,2.0,0.03999988713084733,1976.5091546318395,465.4065535198555,404.0034920318432,41.195177014801864,20.207884473210232
sham_profile,joint,diagonal,0.23157894736842105,0.04,1.1,1.5,0.03999988713084733,2029.0552299296921,584.4636781885295,530.7891288640948,42.51689679122668,11.1576525332078
sham_profile,joint,diagonal,0.23157894736842105,0.04,0.7,1.5,0.03999988713084733,2083.7683392062677,593.7227676602845,530.7024922349786,41.078041585738994,21.942233839566633
sham_profile,joint,diagonal,0.23157894736842105,0.08,1.1,4.0,0.08000000940576273,4785.884478176325,1136.735657216575,560.0416750749985,136.31478512561134,440.37919701596496
sham_profile,joint,diagonal,0.23157894736842105,0.08,0.7,4.0,0.08000000940576273,4921.93448846091,1175.5025190721005,559.9943755587985,134.46381849161835,481.0443250216834
