label,split,covariance_mode,best_f_sat,best_alpha_s,best_radial_scale,best_f_sat_actual,best_chi2,delta_chi2_to_second,hartlap_scale
sham_profile,wp,diagonal,0.04,0.7,4.0,0.03999988713084733,2857.913678381098,0.9064350238109,0.8210526315789474
sham_profile,wp,full,0.04,0.7,4.0,0.03999988713084733,1546.2777306082794,1.1748263462632167,0.8210526315789474
sham_profile,xi02,diagonal,0.04,1.1,1.0,0.03999988713084733,874.1970246106513,2.465909582127665,0.4
sham_profile,xi02,full,0.04,1.1,1.0,0.03999988713084733,3898.3575416991757,11.556308827467092,0.4
sham_profile,joint,diagonal,0.04,1.1,4.0,0.03999988713084733,1347.472454287982,53.68307307554778,0.23157894736842105
sham_profile,joint,full,0.04,0.7,4.0,0.03999988713084733,1157.379104894579,256.8122000204701,0.23157894736842105
