label,split,covariance_mode,hartlap_scale,f_sat_target,alpha_s,radial_scale,f_sat_actual,chi2,source_chi2_total,source_chi2_wp,source_chi2_xi0,source_chi2_xi2
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.04,1.3,4.0,0.03999988713084733,784.5603898430159,243.80064281774256,78.155700023349,21.03417993122393,144.61076286316947
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.04,1.1,4.0,0.03999988713084733,787.1382908724775,236.57110402821513,78.14279190551026,20.732783704158297,137.69552841854642
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.04,1.3,1.0,0.03999988713084733,801.7614767630268,289.8865017946044,151.73921522000364,20.91662068579321,117.23066588880737
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.04,1.1,1.0,0.03999988713084733,803.632391558058,282.60774684817244,151.74552731191378,20.5967819781079,110.26543755815055
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.04,1.3,3.0,0.03999988713084733,826.5956740652107,253.07721730311545,101.98395264669905,20.981109996838857,130.11215465957736
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.04,1.1,3.0,0.03999988713084733,828.4943094429997,245.41953359890437,101.9823523858801,20.667646121439486,122.76953509158461
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.04,1.3,1.5,0.03999988713084733,866.6197264051308,298.8851235462573,159.24190660683996,20.92644190623085,118.71677503318634
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.04,1.1,1.5,0.03999988713084733,868.2594593011362,291.3332834775925,159.24530154256877,20.607997164470525,111.479984770553
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.04,1.3,2.0,0.03999988713084733,869.1782132035474,282.05855265447013,139.6712709675923,20.94153787054347,121.44574381633417
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.04,0.7,4.0,0.03999988713084733,869.375010882526,277.8655712753845,78.10002851575892,19.670368785130247,180.0951739744952
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.04,1.1,2.0,0.03999988713084733,870.4063872176393,274.18774799870806,139.6506215119966,20.62161619907519,113.91551028763614
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.04,0.7,1.0,0.03999988713084733,889.0170823318673,326.2182973999459,151.72928620353426,19.444043890477065,155.0449673059344
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.04,0.7,3.0,0.03999988713084733,912.0941341359991,287.6002110044271,101.93459444667118,19.56013729377934,166.10547926397638
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.04,0.7,1.5,0.03999988713084733,953.253608294491,334.5719490359085,159.1991984381953,19.460675663135344,155.91207493457767
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.04,0.7,2.0,0.03999988713084733,955.0126686328671,316.8836785352472,139.59775903737716,19.493535212601145,157.79238428526872
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.06,1.3,4.0,0.06000006584033906,1238.730816435639,229.12469905219868,161.98809781665935,45.03241921382673,22.10418202171244
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.06,1.1,4.0,0.06000006584033906,1244.1191277223575,222.34817637204787,161.9460481675514,44.68515135949662,15.716976844999687
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.06,1.3,1.0,0.06000006584033906,1296.4474777368464,414.41855594965034,356.78472221561356,44.65041060786593,12.983423126170704
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.06,1.1,1.0,0.06000006584033906,1301.8596871646123,411.03666900167894,356.8063741463949,44.22674457301104,10.003550282272862
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.06,0.7,4.0,0.06000006584033906,1334.1779790233893,242.5159956205112,161.90687152240466,42.952525770052254,37.65659832805411
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.06,1.3,3.0,0.06000006584033906,1380.8040394711293,282.87084117007777,221.73076950768237,44.85190947498393,16.28816218741132
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.06,1.1,3.0,0.06000006584033906,1385.6661969478516,277.5638640578875,221.68850359160848,44.466637249526876,11.408723216751973
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.06,0.7,1.0,0.06000006584033906,1386.286922428071,428.4364002829844,356.80260038206353,42.1776484758587,29.456151425061975
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.06,0.7,3.0,0.06000006584033906,1472.3789105083388,296.206252682057,221.61302400032608,42.57052382995456,32.02270485177625
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.06,1.3,1.5,0.06000006584033906,1485.755207793027,432.3340689805854,374.4071434511364,44.67401683473415,13.252908694714726
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.06,1.1,1.5,0.06000006584033906,1491.0982252143922,428.7103198302685,374.39042662367683,44.26435890366535,10.0555343029261
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.06,1.3,2.0,0.06000006584033906,1501.3518635795372,377.7859984929118,319.23747998337103,44.72245356731393,13.82606494222668
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.06,1.1,2.0,0.06000006584033906,1506.2957468390887,373.69104801389443,319.1635665166416,44.31629695508979,10.211184542162872
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.06,0.7,1.5,0.06000006584033906,1575.8105469154648,446.18521631264935,374.34427630000476,42.233537773767935,29.607402238876485
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.06,0.7,2.0,0.06000006584033906,1591.502091206293,391.4046471625948,319.1099505998087,42.32494595043209,29.96975061235382
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.08,1.3,4.0,0.08000000940576273,2290.063642909475,451.77942820779265,296.26709810079205,81.61158769415917,73.90074241284125
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.08,1.1,4.0,0.08000000940576273,2307.4644121507104,458.2478045041066,296.1938187609299,81.33603611465503,80.71794962852152
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.08,0.7,4.0,0.08000000940576273,2381.7057711714824,433.2095440688839,296.09349025499415,78.81556566409965,58.300488149789906
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.08,1.3,1.0,0.08000000940576273,2434.9300249893417,918.948901262294,715.2324859192056,80.77405149698208,122.94236384610613
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.08,1.1,1.0,0.08000000940576273,2454.2007945687183,936.4832217637622,715.2616385120984,80.30752791074197,140.91405534092164
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.08,0.7,1.0,0.08000000940576273,2504.765165192076,899.6570634302248,715.2568641832157,77.0611650868125,107.33903416019626
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.08,1.3,3.0,0.08000000940576273,2626.9174151052493,596.5877587354805,418.20493181433443,81.20848642918847,97.17434049195737
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.08,1.1,3.0,0.08000000940576273,2645.294794110194,609.3921914861394,418.16024163806685,80.84448016884403,110.38746967922826
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.08,0.7,3.0,0.08000000940576273,2707.4592778134793,579.493950905148,418.0474923567122,77.94144760704015,83.5050109413955
