rp_Mpch,wp
3.454371703632562740e-01,2.423039182309664170e+02
4.461691764985128428e-01,2.037151283533271169e+02
5.761392521323690508e-01,1.501112848333312684e+02
7.440845830136986194e-01,1.212906770667214289e+02
9.610221097371511867e-01,1.142864581778905375e+02
1.241511813471627868e+00,1.027079965874777372e+02
1.603797971810205558e+00,9.092075144660765318e+01
2.071446462100738017e+00,7.367483090920951838e+01
2.675354397423548747e+00,6.336206159482824773e+01
3.455285027913511442e+00,5.109860704748833626e+01
4.462679933856504633e+00,4.221266865895574227e+01
5.763706712545644706e+00,3.464138412183382343e+01
7.444209413474897730e+00,2.767807242900910580e+01
9.614262311145365558e+00,2.168858289459767619e+01
1.241699943664148265e+01,1.651875207928348388e+01
1.603615672961792527e+01,1.243473794263370280e+01
2.071039206808820765e+01,8.726474991408169402e+00
2.674709159197806585e+01,5.890170484410194973e+00
