rp_Mpch,wp
3.454371750015682307e-01,2.419517206772846407e+02
4.461701297941751965e-01,2.030598084811197737e+02
5.761372946629645941e-01,1.501951364892747165e+02
7.440853074965571023e-01,1.212389483716594327e+02
9.610183952668454044e-01,1.144709759803808709e+02
1.241512256814173210e+00,1.028175072138023864e+02
1.603798567869230141e+00,9.082252087085743142e+01
2.071445439215693796e+00,7.367833334296364001e+01
2.675354738019550815e+00,6.333617090664720450e+01
3.455281902217146150e+00,5.098492887185676636e+01
4.462677540634933493e+00,4.222080230205975226e+01
5.763706553461619642e+00,3.459518939321682751e+01
7.444210634298486617e+00,2.760021661190635456e+01
9.614257732978439108e+00,2.165446213457280322e+01
1.241699144902731788e+01,1.648736215288094087e+01
1.603614412512657594e+01,1.238709581254669345e+01
2.071036863173853604e+01,8.719244444701388375e+00
2.674707327646284938e+01,5.872074328265157739e+00
