# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 767640
# D1D2.size2 = 767640
# D1R2.size1 = 767640
# D1R2.size2 = 20565952
# R1D2.size1 = 20565952
# R1D2.size2 = 767640
# R1R2.size1 = 20565952
# R1R2.size2 = 20565952
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454376592752e-01 2.426646630505e+02
4.439475303322e-01 4.461686126633e-01 2.034085118349e+02
5.733802840848e-01 5.761366365492e-01 1.501432157368e+02
7.405491138359e-01 7.440857654056e-01 1.214117773703e+02
9.564559599018e-01 9.610224681759e-01 1.143918755057e+02
1.235310374613e+00 1.241511441628e+00 1.026379033625e+02
1.595464700520e+00 1.603799032297e+00 9.086416160147e+01
2.060621899500e+00 2.071450118712e+00 7.375602580897e+01
2.661395524022e+00 2.675354883767e+00 6.334073955469e+01
3.437324497522e+00 3.455284033323e+00 5.105826604383e+01
4.439475303322e+00 4.462682794073e+00 4.219979694394e+01
5.733802840848e+00 5.763710353508e+00 3.464662853391e+01
7.405491138359e+00 7.444216385066e+00 2.765331405765e+01
9.564559599018e+00 9.614267578746e+00 2.169235862450e+01
1.235310374613e+01 1.241700210246e+01 1.649711520687e+01
1.595464700520e+01 1.603616334393e+01 1.244136179661e+01
2.060621899500e+01 2.071038923282e+01 8.744409835325e+00
2.661395524022e+01 2.674710592338e+01 5.898477242881e+00
