# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 765022
# D1D2.size2 = 765022
# D1R2.size1 = 765022
# D1R2.size2 = 20510317
# R1D2.size1 = 20510317
# R1D2.size2 = 765022
# R1R2.size1 = 20510317
# R1R2.size2 = 20510317
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454351349138e-01 2.424283482876e+02
4.439475303322e-01 4.461625125890e-01 2.031496993597e+02
5.733802840848e-01 5.761351997552e-01 1.500871128337e+02
7.405491138359e-01 7.440830543799e-01 1.213110461332e+02
9.564559599018e-01 9.610189518043e-01 1.138933002085e+02
1.235310374613e+00 1.241508235630e+00 1.031114363672e+02
1.595464700520e+00 1.603801234443e+00 9.089306927660e+01
2.060621899500e+00 2.071443496374e+00 7.370487966969e+01
2.661395524022e+00 2.675352038000e+00 6.338246211376e+01
3.437324497522e+00 3.455281045611e+00 5.108755801620e+01
4.439475303322e+00 4.462675542350e+00 4.213445722034e+01
5.733802840848e+00 5.763703695509e+00 3.464362321079e+01
7.405491138359e+00 7.444203253684e+00 2.763631965262e+01
9.564559599018e+00 9.614246185628e+00 2.169179997668e+01
1.235310374613e+01 1.241697769295e+01 1.651807547467e+01
1.595464700520e+01 1.603612753066e+01 1.245745603024e+01
2.060621899500e+01 2.071033792468e+01 8.786544520402e+00
2.661395524022e+01 2.674701334648e+01 5.933182700078e+00
