# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 764004
# D1D2.size2 = 764004
# D1R2.size1 = 764004
# D1R2.size2 = 20498156
# R1D2.size1 = 20498156
# R1D2.size2 = 764004
# R1R2.size1 = 20498156
# R1R2.size2 = 20498156
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454358020321e-01 2.421238738209e+02
4.439475303322e-01 4.461693790476e-01 2.033598909456e+02
5.733802840848e-01 5.761379482175e-01 1.490618557950e+02
7.405491138359e-01 7.440826796178e-01 1.210935629344e+02
9.564559599018e-01 9.610215383403e-01 1.139713189512e+02
1.235310374613e+00 1.241508082622e+00 1.026475950000e+02
1.595464700520e+00 1.603801238334e+00 9.079103008237e+01
2.060621899500e+00 2.071446578293e+00 7.358556907326e+01
2.661395524022e+00 2.675356379705e+00 6.323593146578e+01
3.437324497522e+00 3.455280324114e+00 5.108790261624e+01
4.439475303322e+00 4.462677340294e+00 4.222699474946e+01
5.733802840848e+00 5.763706607154e+00 3.462086668657e+01
7.405491138359e+00 7.444207227355e+00 2.764623323499e+01
9.564559599018e+00 9.614249720153e+00 2.167797638147e+01
1.235310374613e+01 1.241698902919e+01 1.647739396929e+01
1.595464700520e+01 1.603613709975e+01 1.238351183105e+01
2.060621899500e+01 2.071035217519e+01 8.713971424261e+00
2.661395524022e+01 2.674703026962e+01 5.881627638345e+00
