rp_Mpch,wp
3.454354316067176356e-01,2.423361710241110814e+02
4.461671141978815203e-01,2.030968641623102826e+02
5.761384768094821585e-01,1.498394882117658540e+02
7.440849400735128905e-01,1.213074214744305266e+02
9.610219882439333672e-01,1.144276048373387482e+02
1.241511520969139193e+00,1.027267175708389857e+02
1.603799084542848030e+00,9.088245680935673931e+01
2.071448523059075786e+00,7.377786557261930511e+01
2.675354275355886546e+00,6.334524605142173925e+01
3.455282336996403636e+00,5.104159084458842699e+01
4.462680279789875470e+00,4.217001747028994174e+01
5.763709897899683021e+00,3.462394644455392978e+01
7.444214015847881782e+00,2.763872611899507703e+01
9.614262184819688528e+00,2.166866125331164739e+01
1.241700097514232048e+01,1.649435501435426943e+01
1.603615537472630237e+01,1.242177613282052739e+01
2.071038238527087216e+01,8.729363582149698431e+00
2.674707843264665641e+01,5.889467275790636336e+00
