# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 761437
# D1D2.size2 = 761437
# D1R2.size1 = 761437
# D1R2.size2 = 20465575
# R1D2.size1 = 20465575
# R1D2.size2 = 761437
# R1R2.size1 = 20465575
# R1R2.size2 = 20465575
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454325022578e-01 2.394961086240e+02
4.439475303322e-01 4.461615952916e-01 2.020317486507e+02
5.733802840848e-01 5.761347304392e-01 1.489479008424e+02
7.405491138359e-01 7.440786115738e-01 1.201177790708e+02
9.564559599018e-01 9.610155622383e-01 1.141736576629e+02
1.235310374613e+00 1.241502007099e+00 1.025966567926e+02
1.595464700520e+00 1.603794135922e+00 9.065497360533e+01
2.060621899500e+00 2.071449029600e+00 7.363601295044e+01
2.661395524022e+00 2.675344297529e+00 6.335788780945e+01
3.437324497522e+00 3.455271822975e+00 5.099397024351e+01
4.439475303322e+00 4.462664371808e+00 4.221677504351e+01
5.733802840848e+00 5.763679922858e+00 3.465131535946e+01
7.405491138359e+00 7.444176882372e+00 2.766184259816e+01
9.564559599018e+00 9.614204112897e+00 2.170283646573e+01
1.235310374613e+01 1.241690284658e+01 1.654158909727e+01
1.595464700520e+01 1.603598406619e+01 1.247584492531e+01
2.060621899500e+01 2.071011648718e+01 8.809325158782e+00
2.661395524022e+01 2.674666047583e+01 5.980163066571e+00
