# DESI DR1 LRG pycorr multipoles
# s_Mpch,xi0,xi2,xi4
# mode = smu
# autocorr = True
# D1D2.size1 = 761439
# D1D2.size2 = 761439
# D1R2.size1 = 761439
# D1R2.size2 = 20425301
# R1D2.size1 = 20425301
# R1D2.size2 = 761439
# R1R2.size1 = 20425301
# R1R2.size2 = 20425301
# los_type = midpoint
# bin_type = lin
# smid             savg               corr0(s)           corr2(s)            corr4(s)
3.000000000000e+00 3.210044655809e+00 5.404685343774e+00 2.394208566216e+00  2.806742951342e+00
5.000000000000e+00 5.128927322066e+00 2.832418506103e+00 6.821573264912e-01  1.198384497887e+00
7.000000000000e+00 7.092665062527e+00 1.680258094108e+00 6.185242821278e-02  5.259743799385e-01
9.000000000000e+00 9.071994503213e+00 1.095708322312e+00 -1.303679352858e-01 2.543916290355e-01
1.100000000000e+01 1.105886766532e+01 7.636548944066e-01 -1.939880845009e-01 1.429241013307e-01
1.300000000000e+01 1.304973188661e+01 5.594372447820e-01 -1.872831481437e-01 7.572748160170e-02
1.500000000000e+01 1.504290280822e+01 4.243384930964e-01 -1.832362199224e-01 6.030234599958e-02
1.700000000000e+01 1.703780126035e+01 3.300571647825e-01 -1.576632582173e-01 3.903930556354e-02
1.900000000000e+01 1.903366625135e+01 2.661575249366e-01 -1.403717919236e-01 2.216833262417e-02
2.100000000000e+01 2.103037251974e+01 2.123300105473e-01 -1.260588130139e-01 2.102706439303e-02
2.300000000000e+01 2.302766122290e+01 1.745269730472e-01 -1.069547640019e-01 1.031910564325e-02
2.500000000000e+01 2.502536037353e+01 1.428334630481e-01 -9.514128297874e-02 1.400251483598e-02
2.700000000000e+01 2.702346216455e+01 1.210407031844e-01 -8.322572410867e-02 7.001291363684e-03
2.900000000000e+01 2.902171401847e+01 1.001069767115e-01 -7.696101776040e-02 8.708105171870e-03
3.100000000000e+01 3.102022675251e+01 8.562848080245e-02 -6.930130873822e-02 1.178216150912e-02
3.300000000000e+01 3.301895824752e+01 7.334762545677e-02 -6.737758128367e-02 6.725005228810e-03
3.500000000000e+01 3.501781853408e+01 6.140663800066e-02 -6.166815932206e-02 8.377670001862e-03
3.700000000000e+01 3.701677894456e+01 5.352551523679e-02 -5.292470103331e-02 -6.219354270843e-04
3.900000000000e+01 3.901589575166e+01 4.672026374197e-02 -5.128171033527e-02 7.502247142653e-03
4.100000000000e+01 4.101507464021e+01 3.827339125782e-02 -5.128162009819e-02 4.852589500026e-03
4.300000000000e+01 4.301435033305e+01 3.353173828700e-02 -4.533938689306e-02 4.632459174142e-03
4.500000000000e+01 4.501371378431e+01 2.913864845398e-02 -4.378414465898e-02 2.636299645428e-03
4.700000000000e+01 4.701306219995e+01 2.525653271328e-02 -3.682111634280e-02 1.759434623262e-03
4.900000000000e+01 4.901246322481e+01 2.217752511593e-02 -3.371834976311e-02 -7.427306972480e-04
5.100000000000e+01 5.101195782648e+01 1.970320936783e-02 -3.000729880738e-02 1.518751752323e-04
5.300000000000e+01 5.301147020895e+01 1.715951945171e-02 -2.978902595825e-02 6.161764170206e-05
5.500000000000e+01 5.501101969715e+01 1.619331520050e-02 -2.609498436681e-02 -3.192774627025e-04
5.700000000000e+01 5.701055136091e+01 1.453930066192e-02 -2.527626828662e-02 -1.229551445126e-03
5.900000000000e+01 5.901017702821e+01 1.282698334515e-02 -2.091432899600e-02 1.530199033678e-03
