rp_Mpch,wp
3.454376220789058816e-01,2.424199473475356967e+02
4.461656324449812527e-01,2.025428606860960201e+02
5.761359079467395228e-01,1.499921838038889064e+02
7.440848457373443470e-01,1.211944678972895701e+02
9.610214369818117497e-01,1.142658676639952375e+02
1.241506775853067568e+00,1.023537751029918041e+02
1.603800807380740157e+00,9.060191132463283736e+01
2.071449324631176925e+00,7.363956112162679801e+01
2.675354339769920653e+00,6.327172876826476511e+01
3.455281839748233885e+00,5.092528928523341847e+01
4.462679348451350059e+00,4.210153251930054097e+01
5.763705720579324954e+00,3.455894036259618929e+01
7.444205284416980817e+00,2.760139934364886471e+01
9.614250163630879698e+00,2.162405926024063163e+01
1.241697877844968012e+01,1.644468434947166102e+01
1.603611746540895311e+01,1.237275822784135748e+01
2.071032969198540741e+01,8.700936640145311429e+00
2.674700129263505133e+01,5.859402266993805064e+00
