# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 764617
# D1D2.size2 = 764617
# D1R2.size1 = 764617
# D1R2.size2 = 20462102
# R1D2.size1 = 20462102
# R1D2.size2 = 764617
# R1R2.size1 = 20462102
# R1R2.size2 = 20462102
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454386945883e-01 2.430975774240e+02
4.439475303322e-01 4.461678377950e-01 2.034759323565e+02
5.733802840848e-01 5.761360573185e-01 1.503397276220e+02
7.405491138359e-01 7.440890728768e-01 1.213700957214e+02
9.564559599018e-01 9.610260146061e-01 1.144120474716e+02
1.235310374613e+00 1.241513148867e+00 1.026359329784e+02
1.595464700520e+00 1.603799982218e+00 9.074170091188e+01
2.060621899500e+00 2.071447753566e+00 7.362579304954e+01
2.661395524022e+00 2.675354380710e+00 6.328120120103e+01
3.437324497522e+00 3.455285259322e+00 5.096785764764e+01
4.439475303322e+00 4.462682970089e+00 4.214312618684e+01
5.733802840848e+00 5.763709506040e+00 3.455836473959e+01
7.405491138359e+00 7.444215148272e+00 2.757457167753e+01
9.564559599018e+00 9.614265005073e+00 2.163090496963e+01
1.235310374613e+01 1.241699912511e+01 1.647529169896e+01
1.595464700520e+01 1.603615611541e+01 1.239286545845e+01
2.060621899500e+01 2.071036081830e+01 8.699509655070e+00
2.661395524022e+01 2.674702261385e+01 5.864011010494e+00
