# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 760849
# D1D2.size2 = 760849
# D1R2.size1 = 760849
# D1R2.size2 = 20462820
# R1D2.size1 = 20462820
# R1D2.size2 = 760849
# R1R2.size1 = 20462820
# R1R2.size2 = 20462820
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454385654874e-01 2.405287067501e+02
4.439475303322e-01 4.461653988858e-01 2.009909990418e+02
5.733802840848e-01 5.761338618965e-01 1.492261089393e+02
7.405491138359e-01 7.440723879950e-01 1.209206795974e+02
9.564559599018e-01 9.610097167090e-01 1.143486592166e+02
1.235310374613e+00 1.241499003752e+00 1.026770068004e+02
1.595464700520e+00 1.603788073402e+00 9.111666303083e+01
2.060621899500e+00 2.071446436333e+00 7.375760348290e+01
2.661395524022e+00 2.675343260187e+00 6.325926476926e+01
3.437324497522e+00 3.455270305771e+00 5.107195731024e+01
4.439475303322e+00 4.462655155923e+00 4.225545889097e+01
5.733802840848e+00 5.763678417758e+00 3.450160549379e+01
7.405491138359e+00 7.444169705179e+00 2.756378179364e+01
9.564559599018e+00 9.614189630015e+00 2.158542762488e+01
1.235310374613e+01 1.241687924072e+01 1.646093374095e+01
1.595464700520e+01 1.603594378600e+01 1.241066207373e+01
2.060621899500e+01 2.071006494970e+01 8.767229398479e+00
2.661395524022e+01 2.674658465056e+01 5.863917159889e+00
