rp_Mpch,wp
3.454367969212473466e-01,2.421302323073794582e+02
4.461675666695328335e-01,2.035854333190303009e+02
5.761379351794339021e-01,1.501047684811790077e+02
7.440848298896292068e-01,1.214292264779444537e+02
9.610225290674044851e-01,1.145655175891184001e+02
1.241512167513916909e+00,1.028935768149966492e+02
1.603797855626141189e+00,9.089848773360822065e+01
2.071447422849476361e+00,7.372757337244456721e+01
2.675354256816619980e+00,6.333885943528966322e+01
3.455282667590000578e+00,5.105855252263668831e+01
4.462681342168301590e+00,4.220168328105336997e+01
5.763708720361203852e+00,3.460021949527473595e+01
7.444210989167692638e+00,2.759859887733818340e+01
9.614263833278313243e+00,2.165346776196562928e+01
1.241699931068783158e+01,1.649844510290792954e+01
1.603615783883185131e+01,1.241105230402451198e+01
2.071038818601634901e+01,8.713546332175214459e+00
2.674709471907059211e+01,5.867084750889077327e+00
