# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 769527
# D1D2.size2 = 769527
# D1R2.size1 = 769527
# D1R2.size2 = 20624126
# R1D2.size1 = 20624126
# R1D2.size2 = 769527
# R1R2.size1 = 20624126
# R1R2.size2 = 20624126
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454357786861e-01 2.419849348362e+02
4.439475303322e-01 4.461659014425e-01 2.031325869434e+02
5.733802840848e-01 5.761372769981e-01 1.496429840112e+02
7.405491138359e-01 7.440835745241e-01 1.213475779616e+02
9.564559599018e-01 9.610192023821e-01 1.143515750820e+02
1.235310374613e+00 1.241509379108e+00 1.026023169756e+02
1.595464700520e+00 1.603798094115e+00 9.086666392810e+01
2.060621899500e+00 2.071448265655e+00 7.375171169985e+01
2.661395524022e+00 2.675354136177e+00 6.332045478901e+01
3.437324497522e+00 3.455282139881e+00 5.109685587725e+01
4.439475303322e+00 4.462679250594e+00 4.217981631389e+01
5.733802840848e+00 5.763707643820e+00 3.461759431567e+01
7.405491138359e+00 7.444213021954e+00 2.762957584140e+01
9.564559599018e+00 9.614263311586e+00 2.168137512154e+01
1.235310374613e+01 1.241700225124e+01 1.649735629391e+01
1.595464700520e+01 1.603616008396e+01 1.242252518149e+01
2.060621899500e+01 2.071039318968e+01 8.729697070084e+00
2.661395524022e+01 2.674710902437e+01 5.885236030311e+00
