# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 767251
# D1D2.size2 = 767251
# D1R2.size1 = 767251
# D1R2.size2 = 20555002
# R1D2.size1 = 20555002
# R1D2.size2 = 767251
# R1R2.size1 = 20555002
# R1R2.size2 = 20555002
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454381995286e-01 2.426278009233e+02
4.439475303322e-01 4.461656275773e-01 2.037161466116e+02
5.733802840848e-01 5.761384261802e-01 1.499432980868e+02
7.405491138359e-01 7.440837076077e-01 1.213243912298e+02
9.564559599018e-01 9.610187874211e-01 1.144170248765e+02
1.235310374613e+00 1.241511346805e+00 1.028214879459e+02
1.595464700520e+00 1.603799139461e+00 9.080880950544e+01
2.060621899500e+00 2.071447922182e+00 7.371453774595e+01
2.661395524022e+00 2.675353984212e+00 6.333338813157e+01
3.437324497522e+00 3.455281256918e+00 5.109821722368e+01
4.439475303322e+00 4.462679011766e+00 4.221250270648e+01
5.733802840848e+00 5.763703348747e+00 3.461818090706e+01
7.405491138359e+00 7.444210739001e+00 2.762060884935e+01
9.564559599018e+00 9.614255787738e+00 2.168892500270e+01
1.235310374613e+01 1.241698946705e+01 1.651353488178e+01
1.595464700520e+01 1.603613675294e+01 1.241526432783e+01
2.060621899500e+01 2.071035235064e+01 8.726741596829e+00
2.661395524022e+01 2.674702554992e+01 5.873046322255e+00
