s_Mpch,xi0,xi2,xi4
3.210023499903203792e+00,5.406999074577152342e+00,2.399391266660653166e+00,2.812471235969917771e+00
5.128936480773284678e+00,2.832796651970554969e+00,6.846652597950423358e-01,1.191213883007410379e+00
7.092644230699625574e+00,1.678740239226207631e+00,5.951589503377738982e-02,5.293567954879638826e-01
9.071995706752705502e+00,1.095233013920742682e+00,-1.312767176438375261e-01,2.514185347574126039e-01
1.105886883269020693e+01,7.621294849447555197e-01,-1.968540604054441756e-01,1.401885921823042003e-01
1.304972225881531855e+01,5.591938818987722826e-01,-1.907170583537138864e-01,7.421763461797081796e-02
1.504289605840741473e+01,4.240949068146643297e-01,-1.842707494337452734e-01,5.743367482377341460e-02
1.703779160737963494e+01,3.294509049248265931e-01,-1.592846510980592822e-01,3.911669526587160939e-02
1.903365308084550733e+01,2.656044805152947275e-01,-1.403784408842586040e-01,2.178351258995808726e-02
2.103037269706004864e+01,2.120292734617255925e-01,-1.253370954438566276e-01,2.080732370426767452e-02
2.302765571372853870e+01,1.746279333898559938e-01,-1.064320831508097226e-01,8.915540939273280258e-03
2.502535577339314798e+01,1.424680624430670339e-01,-9.508461980419838366e-02,1.484927428280129712e-02
2.702345908158158139e+01,1.202589367781528862e-01,-8.268266780749811140e-02,7.146529658196397114e-03
2.902170289537293968e+01,9.951801009617658456e-02,-7.616848689640026704e-02,8.268324009735759580e-03
3.102022075815227709e+01,8.538866638797613928e-02,-6.833575482445795879e-02,1.171388665242820148e-02
3.301895022413254566e+01,7.306931998215604462e-02,-6.726346595458687627e-02,6.123735718687424619e-03
3.501781430977102616e+01,6.094083324352737863e-02,-6.155338298549172665e-02,8.389874830515221121e-03
3.701677318209092959e+01,5.313200292671860225e-02,-5.298289524705702275e-02,-8.884516811228130532e-04
3.901589026522617587e+01,4.642950652344955687e-02,-5.236150395542042008e-02,7.673506263074367922e-03
4.101506993365662623e+01,3.796021496494120934e-02,-5.125377679106675466e-02,4.472815437547576940e-03
4.301434853750374288e+01,3.328966965521049787e-02,-4.593927209209588969e-02,4.045029016666765523e-03
4.501370955753039738e+01,2.903772333836244363e-02,-4.364186704751622792e-02,2.029368446353719321e-03
4.701305944453984154e+01,2.506186040095101722e-02,-3.655233415983156348e-02,4.581928717835328482e-04
4.901245879039975506e+01,2.201472740083901258e-02,-3.331779695746539538e-02,-4.573777485947488203e-04
5.101195418927260761e+01,1.935666931451812331e-02,-3.009183796053906124e-02,6.800334506041614321e-04
5.301146595144096096e+01,1.676870086923687095e-02,-2.911928409181996705e-02,6.609403901410737959e-04
5.501101375790555892e+01,1.587544324656084416e-02,-2.604372960033027318e-02,-4.793129492227233938e-05
5.701054936438316645e+01,1.422055942961529366e-02,-2.551721346487006298e-02,-5.539884594466799698e-04
5.901017283951672709e+01,1.259455763424728592e-02,-2.059375823917767440e-02,1.946132693519566585e-03
