rp_Mpch,wp
3.454339798313992849e-01,2.423826637716564676e+02
4.461715080300165392e-01,2.009932987365137365e+02
5.761311315161029567e-01,1.492626467177015002e+02
7.440814378362032855e-01,1.210061618205335776e+02
9.610101609719383653e-01,1.138541268980812333e+02
1.241502603697127949e+00,1.023590384156316020e+02
1.603798313073087289e+00,9.102253819054206474e+01
2.071444058323329340e+00,7.380789002476046790e+01
2.675346474355377868e+00,6.329664087633737779e+01
3.455277185054713929e+00,5.099274768287122583e+01
4.462669826436892251e+00,4.210284063855130654e+01
5.763699655529816113e+00,3.455616312745731022e+01
7.444197654044915069e+00,2.762739806817366883e+01
9.614231830163452841e+00,2.167307959797432204e+01
1.241696452023845154e+01,1.650358033907367172e+01
1.603609061848245076e+01,1.247337485554999681e+01
2.071029411143420873e+01,8.735750819208622175e+00
2.674691851516657337e+01,5.865877628756927642e+00
