# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 764139
# D1D2.size2 = 764139
# D1R2.size1 = 764139
# D1R2.size2 = 20530945
# R1D2.size1 = 20530945
# R1D2.size2 = 764139
# R1R2.size1 = 20530945
# R1R2.size2 = 20530945
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454309714843e-01 2.412590655414e+02
4.439475303322e-01 4.461667302429e-01 2.019998445249e+02
5.733802840848e-01 5.761333785596e-01 1.494176861622e+02
7.405491138359e-01 7.440789042830e-01 1.204677654014e+02
9.564559599018e-01 9.610170293521e-01 1.142126631835e+02
1.235310374613e+00 1.241508871922e+00 1.026942262386e+02
1.595464700520e+00 1.603798343798e+00 9.088912785145e+01
2.060621899500e+00 2.071451769652e+00 7.381208199829e+01
2.661395524022e+00 2.675351713404e+00 6.328950092443e+01
3.437324497522e+00 3.455276783227e+00 5.107768454271e+01
4.439475303322e+00 4.462670962884e+00 4.218069187057e+01
5.733802840848e+00 5.763696406661e+00 3.455090534140e+01
7.405491138359e+00 7.444203123647e+00 2.758631754691e+01
9.564559599018e+00 9.614236707277e+00 2.164790377454e+01
1.235310374613e+01 1.241696245165e+01 1.650854857629e+01
1.595464700520e+01 1.603608568610e+01 1.239746071388e+01
2.060621899500e+01 2.071027806992e+01 8.719711541849e+00
2.661395524022e+01 2.674694702188e+01 5.850245742379e+00
