s_Mpch,xi0,xi2,xi4
3.210003023597727712e+00,5.405344293351199703e+00,2.387920166915419529e+00,2.802268328946162512e+00
5.128913763227535227e+00,2.832430138999744607e+00,6.781904926045696502e-01,1.192934148844474240e+00
7.092654199695874517e+00,1.679875382700142472e+00,6.348382641067260024e-02,5.270378823842004623e-01
9.071989653328989434e+00,1.094946366334451859e+00,-1.295948361565082141e-01,2.552759075670872901e-01
1.105884962950233508e+01,7.623801215361346584e-01,-1.951677034407169053e-01,1.448437493520437491e-01
1.304972664988765274e+01,5.589866719960290276e-01,-1.879901998583148881e-01,7.531090433540696405e-02
1.504290531455206903e+01,4.237809645698780714e-01,-1.835135605306326134e-01,5.944511878464291132e-02
1.703779956287869268e+01,3.298785588525913193e-01,-1.578020065317517762e-01,3.903247299498256717e-02
1.903366400155029226e+01,2.662084472677886948e-01,-1.405769547740040593e-01,2.221108234136048160e-02
2.103036294593796285e+01,2.123443661677778538e-01,-1.255459899537154644e-01,2.163065984661211721e-02
2.302764866396769605e+01,1.748809983977150095e-01,-1.063416275154842605e-01,8.869759789860518634e-03
2.502535251388925985e+01,1.427519539694351303e-01,-9.566778308635201511e-02,1.338618139582560887e-02
2.702346113901083768e+01,1.209557817905816957e-01,-8.352568173692037634e-02,7.149096916440438911e-03
2.902170185490424714e+01,1.001360551041006186e-01,-7.727709933426582523e-02,8.312420966681745987e-03
3.102021703372744099e+01,8.574489915357295933e-02,-6.920642212529598547e-02,1.188124628171657871e-02
3.301894609327607100e+01,7.350793746743011781e-02,-6.759512434317635488e-02,6.345701479408319065e-03
3.501781714873871465e+01,6.174563746104486800e-02,-6.177147585194847634e-02,8.741457079528634766e-03
3.701677232535288908e+01,5.378306342860833533e-02,-5.327602822420952206e-02,-7.352889397756719528e-04
3.901589491990806380e+01,4.694247601636801492e-02,-5.204721662776964908e-02,7.711033329403640599e-03
4.101507286945156494e+01,3.821785117076684918e-02,-5.170418300918414728e-02,4.596985657357889957e-03
4.301434585303785241e+01,3.335253889085423862e-02,-4.607776375810142266e-02,4.943053570759573488e-03
4.501371391960339707e+01,2.914769741912838150e-02,-4.425429684446100659e-02,2.728189335552910766e-03
4.701305907596987765e+01,2.511281410635670536e-02,-3.709653956361475685e-02,1.841774255766667843e-03
4.901246204695760866e+01,2.232253217702388076e-02,-3.416687156465615660e-02,6.219911848906131430e-05
5.101195632216850129e+01,1.978591600070618226e-02,-3.099703295290678895e-02,4.654248504140339870e-04
5.301147127984076235e+01,1.714508374995378504e-02,-3.010675203919460988e-02,4.277380711539135886e-04
5.501101947238384327e+01,1.612183764506971290e-02,-2.705014498165925901e-02,6.593603604746812487e-05
5.701054992767483043e+01,1.451681388426101851e-02,-2.629059573628659413e-02,-1.039605557652153490e-03
5.901017981326481987e+01,1.281023763858677930e-02,-2.192429329102505223e-02,1.538753240645624864e-03
