# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 768596
# D1D2.size2 = 768596
# D1R2.size1 = 768596
# D1R2.size2 = 20597968
# R1D2.size1 = 20597968
# R1D2.size2 = 768596
# R1R2.size1 = 20597968
# R1R2.size2 = 20597968
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454354393269e-01 2.424692274120e+02
4.439475303322e-01 4.461686006205e-01 2.032500765554e+02
5.733802840848e-01 5.761380275073e-01 1.499676418372e+02
7.405491138359e-01 7.440846062783e-01 1.212749426418e+02
9.564559599018e-01 9.610200845588e-01 1.143721405216e+02
1.235310374613e+00 1.241511149539e+00 1.027613495801e+02
1.595464700520e+00 1.603800570395e+00 9.081543497141e+01
2.060621899500e+00 2.071448437436e+00 7.376899743403e+01
2.661395524022e+00 2.675353231041e+00 6.331889905443e+01
3.437324497522e+00 3.455284930419e+00 5.107339808405e+01
4.439475303322e+00 4.462680444601e+00 4.218846015047e+01
5.733802840848e+00 5.763710242461e+00 3.460144080284e+01
7.405491138359e+00 7.444216229055e+00 2.763167027807e+01
9.564559599018e+00 9.614263372383e+00 2.166636142178e+01
1.235310374613e+01 1.241700574082e+01 1.649504371727e+01
1.595464700520e+01 1.603615980689e+01 1.241061699518e+01
2.060621899500e+01 2.071038245422e+01 8.725074595331e+00
2.661395524022e+01 2.674709230498e+01 5.882537925146e+00
