# DESI DR1 LRG pycorr multipoles
# s_Mpch,xi0,xi2,xi4
# mode = smu
# autocorr = True
# D1D2.size1 = 768596
# D1D2.size2 = 768596
# D1R2.size1 = 768596
# D1R2.size2 = 20597968
# R1D2.size1 = 20597968
# R1D2.size2 = 768596
# R1R2.size1 = 20597968
# R1R2.size2 = 20597968
# los_type = midpoint
# bin_type = lin
# smid             savg               corr0(s)           corr2(s)            corr4(s)
3.000000000000e+00 3.210037479866e+00 5.407451359163e+00 2.402376556674e+00  2.818895926168e+00
5.000000000000e+00 5.128944544071e+00 2.831466186643e+00 6.850947571877e-01  1.196705916979e+00
7.000000000000e+00 7.092663694499e+00 1.679420554898e+00 6.243195689716e-02  5.266346660739e-01
9.000000000000e+00 9.071994768780e+00 1.095539980301e+00 -1.312390444100e-01 2.548571830730e-01
1.100000000000e+01 1.105887603773e+01 7.622822137225e-01 -1.952618658305e-01 1.421074229517e-01
1.300000000000e+01 1.304973906000e+01 5.585273063836e-01 -1.879739369389e-01 7.570712711632e-02
1.500000000000e+01 1.504290908565e+01 4.237001763074e-01 -1.830087364340e-01 6.021681312850e-02
1.700000000000e+01 1.703780723388e+01 3.296206012307e-01 -1.578744006257e-01 3.883021201246e-02
1.900000000000e+01 1.903367191239e+01 2.660165308726e-01 -1.403644684966e-01 2.203032396412e-02
2.100000000000e+01 2.103037919470e+01 2.122392749867e-01 -1.256462281311e-01 2.105598226500e-02
2.300000000000e+01 2.302766499809e+01 1.745827236226e-01 -1.065056648091e-01 8.696418935718e-03
2.500000000000e+01 2.502536762141e+01 1.424826534435e-01 -9.554719304368e-02 1.377742850709e-02
2.700000000000e+01 2.702346871165e+01 1.207580369229e-01 -8.337172386095e-02 6.974518506019e-03
2.900000000000e+01 2.902171646606e+01 9.982713289896e-02 -7.701934667343e-02 8.228466216593e-03
3.100000000000e+01 3.102022872211e+01 8.547216501265e-02 -6.923467684982e-02 1.177014016540e-02
3.300000000000e+01 3.301896041815e+01 7.328703484366e-02 -6.740664080042e-02 6.480309201576e-03
3.500000000000e+01 3.501782269151e+01 6.134459775317e-02 -6.157743498649e-02 8.780330798445e-03
3.700000000000e+01 3.701678388598e+01 5.351124219125e-02 -5.312790931107e-02 -5.913591230669e-04
3.900000000000e+01 3.901590050387e+01 4.669427503822e-02 -5.179239352278e-02 7.852799882533e-03
4.100000000000e+01 4.101507817877e+01 3.817405470617e-02 -5.126639443891e-02 4.937950111316e-03
4.300000000000e+01 4.301435429448e+01 3.340201798209e-02 -4.551690212047e-02 4.671703719241e-03
4.500000000000e+01 4.501371982439e+01 2.926135712002e-02 -4.386910753320e-02 2.492583156982e-03
4.700000000000e+01 4.701306767870e+01 2.524887224432e-02 -3.691117504303e-02 1.364336299933e-03
4.900000000000e+01 4.901246651900e+01 2.227438302036e-02 -3.388410104550e-02 -4.050759881142e-04
5.100000000000e+01 5.101196196849e+01 1.972119614777e-02 -3.048923960441e-02 4.827793842574e-04
5.300000000000e+01 5.301147414610e+01 1.714060285272e-02 -2.959352807627e-02 1.290983549311e-04
5.500000000000e+01 5.501102275414e+01 1.621024619877e-02 -2.637451103870e-02 -6.508058421066e-05
5.700000000000e+01 5.701055589290e+01 1.455953638577e-02 -2.524652421892e-02 -9.568583974244e-04
5.900000000000e+01 5.901018217137e+01 1.288254371854e-02 -2.104137603242e-02 1.405079509293e-03
