# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 760893
# D1D2.size2 = 760893
# D1R2.size1 = 760893
# D1R2.size2 = 20461523
# R1D2.size1 = 20461523
# R1D2.size2 = 760893
# R1R2.size1 = 20461523
# R1R2.size2 = 20461523
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454310917176e-01 2.399206677312e+02
4.439475303322e-01 4.461679782142e-01 2.012163730274e+02
5.733802840848e-01 5.761234979077e-01 1.486602699928e+02
7.405491138359e-01 7.440815964279e-01 1.202286394740e+02
9.564559599018e-01 9.610074433573e-01 1.140786592555e+02
1.235310374613e+00 1.241499434686e+00 1.026288098072e+02
1.595464700520e+00 1.603800873327e+00 9.091343180463e+01
2.060621899500e+00 2.071442918648e+00 7.362258778039e+01
2.661395524022e+00 2.675348280505e+00 6.346517985970e+01
3.437324497522e+00 3.455272137076e+00 5.127345631826e+01
4.439475303322e+00 4.462662658466e+00 4.219025313910e+01
5.733802840848e+00 5.763687352172e+00 3.468053218348e+01
7.405491138359e+00 7.444169711086e+00 2.774860160884e+01
9.564559599018e+00 9.614202604594e+00 2.171142278485e+01
1.235310374613e+01 1.241689504099e+01 1.659236413872e+01
1.595464700520e+01 1.603598316459e+01 1.248447253868e+01
2.060621899500e+01 2.071009576960e+01 8.815765922615e+00
2.661395524022e+01 2.674662557111e+01 5.949194560404e+00
