rp_Mpch,wp
3.454310917175851814e-01,2.399206677312092211e+02
4.461679782141973472e-01,2.012163730274402553e+02
5.761234979076950147e-01,1.486602699928490381e+02
7.440815964279346995e-01,1.202286394739558943e+02
9.610074433572861619e-01,1.140786592555263468e+02
1.241499434686355929e+00,1.026288098071928232e+02
1.603800873326664655e+00,9.091343180463273654e+01
2.071442918648012110e+00,7.362258778039009144e+01
2.675348280505031706e+00,6.346517985969982334e+01
3.455272137076015770e+00,5.127345631826450756e+01
4.462662658465944787e+00,4.219025313910336195e+01
5.763687352172062184e+00,3.468053218348025268e+01
7.444169711086098928e+00,2.774860160883842042e+01
9.614202604594389356e+00,2.171142278485063670e+01
1.241689504099462482e+01,1.659236413872387317e+01
1.603598316458562323e+01,1.248447253867559859e+01
2.071009576959907506e+01,8.815765922614588135e+00
2.674662557110897865e+01,5.949194560404364118e+00
