cap,path,area_deg2,effective_area_deg2,n_weighted,volume_mpc_h3,nbar_h3_mpc3,zeff_volume_weighted,zmin,zmax,n_bins
NGC,data\dr1_lss_v1.5\LRG_NGC_nz.txt,3755.8352,3464.9234532477117,682136.9191310812,1282169751.4130902,0.000532017635246263,0.7056225565915062,0.6,0.8,20
SGC,data\dr1_lss_v1.5\LRG_SGC_nz.txt,1983.8884,1770.198402421271,347667.35597109474,655049058.4306908,0.0005307501041280874,0.7056225565915056,0.6,0.8,20
