rp_Mpch,wp
8.826528093512868711e-01,nan
1.104716423386892910e+00,nan
2.024563013968192937e+00,nan
4.760687442483906295e+00,nan
9.129017811652577308e+00,nan
1.627112143386571219e+01,1.903379706670102678e+01
