s_Mpch,xi0,xi2,xi4
3.210039518671816250e+00,5.406474783264973993e+00,2.398795397497770487e+00,2.817555429153866697e+00
5.128946100788009943e+00,2.830674655242995996e+00,6.848648213168071486e-01,1.196299344622345995e+00
7.092670870332663746e+00,1.679226035353485580e+00,6.261153984170675368e-02,5.267352697885610002e-01
9.071991596005352321e+00,1.095491839209994378e+00,-1.322680138995621091e-01,2.544204824995850434e-01
1.105887276098795446e+01,7.623420566098469964e-01,-1.944197924406423361e-01,1.421977247653965493e-01
1.304974071500875787e+01,5.587627301259099344e-01,-1.881061672638245086e-01,7.431616954080039195e-02
1.504290878247293151e+01,4.239142200757388679e-01,-1.826082233726526172e-01,5.979521498639572830e-02
1.703780445279858213e+01,3.296660290623239509e-01,-1.578966416781581728e-01,3.865845400373679741e-02
1.903367044490947535e+01,2.661100515489497331e-01,-1.400672209892505904e-01,2.135823062037207204e-02
2.103037877634136166e+01,2.123913034356340046e-01,-1.254997894318030660e-01,2.113062246545825695e-02
2.302766393576716553e+01,1.747234948574506452e-01,-1.067086598003864628e-01,8.884633521543994911e-03
2.502536719457717140e+01,1.427715526667219237e-01,-9.550287646568807187e-02,1.370877820219314550e-02
2.702346922168059251e+01,1.208285415571725419e-01,-8.357819841855899934e-02,6.924673582351329598e-03
2.902171437384738795e+01,9.991597691155978955e-02,-7.710737724384424119e-02,7.899962406492594749e-03
3.102022977818364780e+01,8.561042909734242756e-02,-6.948342055553367869e-02,1.158108405447686243e-02
3.301896029294589141e+01,7.328981617893930156e-02,-6.729465481338856025e-02,6.359446614299995790e-03
3.501782317600312666e+01,6.141454637834248276e-02,-6.169934374691191104e-02,8.605272883114658405e-03
3.701678463878295133e+01,5.355038191470976039e-02,-5.312262677159035329e-02,-8.839890839580266842e-04
3.901590104776661150e+01,4.676602431283086170e-02,-5.164872019784413210e-02,7.656235582733327688e-03
4.101507864833575212e+01,3.815145352756962871e-02,-5.126666164704975215e-02,4.755324918492030706e-03
4.301435379336117393e+01,3.341213443625216245e-02,-4.545530084189425279e-02,4.808448929493138596e-03
4.501372084323340061e+01,2.920179217159157500e-02,-4.379967854435317526e-02,2.437684395113579299e-03
4.701306828768701962e+01,2.514279775987224297e-02,-3.682541932486289166e-02,1.143120569328128552e-03
4.901246677955933251e+01,2.226824922661308631e-02,-3.381229745281492255e-02,-5.672762873059881581e-04
5.101196197819934497e+01,1.974586210355656207e-02,-3.038583289982818916e-02,2.666462479977057534e-04
5.301147397526099780e+01,1.715555261263547460e-02,-2.953128147438320930e-02,7.659797726195980393e-05
5.501102344150680779e+01,1.617323414210221702e-02,-2.633920327971294925e-02,-1.699989599402144296e-04
5.701055589143566493e+01,1.450359972986429470e-02,-2.527811195469176209e-02,-1.089549537438953787e-03
5.901018276069362400e+01,1.283891956249602097e-02,-2.099103096969472809e-02,1.274055529178889576e-03
