# DESI DR1 LRG pycorr multipoles
# s_Mpch,xi0,xi2,xi4
# mode = smu
# autocorr = True
# D1D2.size1 = 11756
# D1D2.size2 = 11756
# D1R2.size1 = 11756
# D1R2.size2 = 584758
# R1D2.size1 = 584758
# R1D2.size2 = 11756
# R1R2.size1 = 584758
# R1R2.size2 = 584758
# los_type = midpoint
# bin_type = lin
# smid             savg               corr0(s)           corr2(s)            corr4(s)
3.000000000000e+00 3.210259071362e+00 7.434158175085e+00 3.157502867830e+00  6.224487840843e+00
5.000000000000e+00 5.128443647143e+00 3.737011459170e+00 1.643000654881e+00  2.654434316321e+00
7.000000000000e+00 7.090839900019e+00 2.189555508744e+00 3.067196655274e-01  1.162244491024e+00
9.000000000000e+00 9.069799758281e+00 1.428122548606e+00 -6.521429785301e-02 6.329278585467e-01
1.100000000000e+01 1.105652857316e+01 9.559523215731e-01 -2.664628976935e-01 2.301672079010e-01
1.300000000000e+01 1.304717844473e+01 7.104114980254e-01 -2.197207362561e-01 1.599302431388e-01
1.500000000000e+01 1.504073031683e+01 5.614786092238e-01 -2.037056047837e-01 2.216854668831e-02
1.700000000000e+01 1.703518690828e+01 4.224501175059e-01 -2.107011102555e-01 4.705812507822e-02
1.900000000000e+01 1.903080846570e+01 3.531012692350e-01 -1.441178193561e-01 1.063396494803e-01
2.100000000000e+01 2.102759325542e+01 2.674124938859e-01 -1.345382204911e-01 8.178409407524e-04
2.300000000000e+01 2.302477170790e+01 2.418054814945e-01 -1.228461084511e-01 4.866482497871e-02
2.500000000000e+01 2.502247856497e+01 1.914970579332e-01 -1.159014660697e-01 5.275725790800e-02
2.700000000000e+01 2.702034036151e+01 1.766005538294e-01 -1.316559202718e-01 1.881037789069e-02
2.900000000000e+01 2.901883694891e+01 1.285361872660e-01 -5.788543018353e-02 5.485313293077e-02
3.100000000000e+01 3.101712873417e+01 9.886271242515e-02 -5.923958343603e-02 5.879098774299e-02
3.300000000000e+01 3.301567522255e+01 8.013112577405e-02 -8.386430148049e-02 1.146872093329e-02
3.500000000000e+01 3.501457680158e+01 6.803162210620e-02 -3.546001964100e-02 3.266771220236e-02
3.700000000000e+01 3.701338306332e+01 4.111289228358e-02 -3.846781772803e-02 6.538580093745e-02
3.900000000000e+01 3.901251919580e+01 3.796736336908e-02 -1.567088588327e-02 6.770329806179e-02
4.100000000000e+01 4.101167335014e+01 3.283153992870e-02 -1.797165767574e-02 2.099553286136e-02
4.300000000000e+01 4.301078446884e+01 6.661924020550e-03 -8.873064740867e-03 2.861537252007e-03
4.500000000000e+01 4.501001654382e+01 2.029619721987e-02 -1.536729103344e-02 4.165672914568e-02
4.700000000000e+01 4.700935371191e+01 9.733011469535e-03 -2.158568898426e-02 7.318082326975e-02
4.900000000000e+01 4.900884125319e+01 2.123854798548e-02 -2.551519710281e-02 3.442420965487e-02
5.100000000000e+01 5.100814340470e+01 2.048864528320e-02 -6.351254738591e-02 1.171505890590e-02
5.300000000000e+01 5.300748533297e+01 6.084030176638e-03 -3.867212528864e-02 1.142374753010e-02
5.500000000000e+01 5.500697800509e+01 8.727232213495e-03 -3.687379768559e-02 3.863279503724e-02
5.700000000000e+01 5.700652379432e+01 8.146426278934e-03 -6.130974503160e-02 6.698278384233e-02
5.900000000000e+01 5.900603023260e+01 1.290713630716e-02 -5.992068407595e-02 4.963515738083e-02
