s_Mpch,xi0,xi2,xi4
3.210259071362234984e+00,7.434158175085066489e+00,3.157502867829562021e+00,6.224487840842967579e+00
5.128443647143421380e+00,3.737011459169841565e+00,1.643000654881008327e+00,2.654434316321186316e+00
7.090839900018859332e+00,2.189555508744405188e+00,3.067196655274011530e-01,1.162244491024070348e+00
9.069799758281336111e+00,1.428122548606236775e+00,-6.521429785301421922e-02,6.329278585467229545e-01
1.105652857315788928e+01,9.559523215731178247e-01,-2.664628976935170535e-01,2.301672079010446681e-01
1.304717844472570576e+01,7.104114980254474521e-01,-2.197207362560664734e-01,1.599302431388189838e-01
1.504073031683463135e+01,5.614786092238042148e-01,-2.037056047837368378e-01,2.216854668831117620e-02
1.703518690828391868e+01,4.224501175058844593e-01,-2.107011102554785797e-01,4.705812507822250412e-02
1.903080846570076190e+01,3.531012692350423698e-01,-1.441178193561127308e-01,1.063396494802813230e-01
2.102759325541688185e+01,2.674124938859209211e-01,-1.345382204911476642e-01,8.178409407523512531e-04
2.302477170790107763e+01,2.418054814944904096e-01,-1.228461084511347362e-01,4.866482497870627810e-02
2.502247856497245948e+01,1.914970579331927714e-01,-1.159014660696700144e-01,5.275725790799910137e-02
2.702034036151302487e+01,1.766005538294493360e-01,-1.316559202717575427e-01,1.881037789068795013e-02
2.901883694891242982e+01,1.285361872659749605e-01,-5.788543018353076164e-02,5.485313293077197921e-02
3.101712873416597915e+01,9.886271242514871327e-02,-5.923958343603175081e-02,5.879098774298604363e-02
3.301567522255215437e+01,8.013112577404905845e-02,-8.386430148048734656e-02,1.146872093329317881e-02
3.501457680157974295e+01,6.803162210620258832e-02,-3.546001964099593229e-02,3.266771220236475148e-02
3.701338306332193895e+01,4.111289228358010195e-02,-3.846781772803251065e-02,6.538580093745427479e-02
3.901251919579647875e+01,3.796736336908376752e-02,-1.567088588326811388e-02,6.770329806178906895e-02
4.101167335013930426e+01,3.283153992869521087e-02,-1.797165767574487524e-02,2.099553286136393235e-02
4.301078446883953887e+01,6.661924020549563411e-03,-8.873064740867252914e-03,2.861537252007240531e-03
4.501001654381913397e+01,2.029619721987041547e-02,-1.536729103344018632e-02,4.165672914567796620e-02
4.700935371190702483e+01,9.733011469535467544e-03,-2.158568898426187904e-02,7.318082326974517660e-02
4.900884125319448970e+01,2.123854798548475281e-02,-2.551519710281211634e-02,3.442420965486994722e-02
5.100814340469558772e+01,2.048864528320111511e-02,-6.351254738590858540e-02,1.171505890590380551e-02
5.300748533297442577e+01,6.084030176638291487e-03,-3.867212528864173715e-02,1.142374753009937211e-02
5.500697800509437485e+01,8.727232213494980073e-03,-3.687379768559436582e-02,3.863279503723588554e-02
5.700652379431804206e+01,8.146426278933929788e-03,-6.130974503160040168e-02,6.698278384233333216e-02
5.900603023259559166e+01,1.290713630715859331e-02,-5.992068407594684093e-02,4.963515738082561329e-02
