rp_Mpch,wp
3.455165404638366744e-01,6.552700293717857676e+02
4.462693010806111360e-01,4.892227061051742112e+02
5.762733989776955834e-01,3.315039507014421361e+02
7.443138980760506396e-01,2.569079073730669052e+02
9.615121071465750902e-01,1.996576482186405883e+02
1.242031595024482904e+00,1.413729241948512367e+02
1.603803977857114704e+00,1.086476257763121254e+02
2.071313666026652012e+00,1.074616336397941723e+02
2.675189278862957654e+00,8.928345799377277103e+01
3.455100857027842309e+00,8.739484826322212996e+01
4.462065127231581663e+00,6.136401255740874205e+01
5.762492717318616009e+00,4.818682102784205767e+01
7.441749273264338882e+00,4.375395215303012719e+01
9.609849443561506277e+00,3.283451510301635778e+01
1.240901382504225303e+01,2.423196439787573553e+01
1.602234751620323649e+01,1.643658817001800543e+01
2.068512229241155254e+01,1.063193100795455237e+01
2.670161274368467375e+01,7.526040773951738316e+00
