rp_Mpch,wp
3.454314534339336107e-01,2.409861162787909734e+02
4.461645503002457658e-01,2.030539680956376856e+02
5.761347199849375933e-01,1.501013039206856661e+02
7.440794332937896716e-01,1.210580305061616286e+02
9.610138955331296584e-01,1.145139548728262753e+02
1.241505662311841673e+00,1.026578821478358492e+02
1.603795438853470756e+00,9.082806545302938162e+01
2.071447197427018772e+00,7.387370182213591363e+01
2.675349674112637022e+00,6.342085150659475801e+01
3.455283244543478904e+00,5.103621336532295061e+01
4.462678030046498101e+00,4.222156760237344031e+01
5.763701318838123200e+00,3.462537964683831859e+01
7.444206388335328661e+00,2.762265918708781243e+01
9.614254597914944966e+00,2.168484254666277167e+01
1.241698069170113605e+01,1.648605089126618140e+01
1.603611815998380408e+01,1.239013633825310912e+01
2.071033425181128607e+01,8.736251508050985493e+00
2.674702796279382255e+01,5.877596137196188231e+00
