# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 766428
# D1D2.size2 = 766428
# D1R2.size1 = 766428
# D1R2.size2 = 20547460
# R1D2.size1 = 20547460
# R1D2.size2 = 766428
# R1R2.size1 = 20547460
# R1R2.size2 = 20547460
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454373642665e-01 2.421166881593e+02
4.439475303322e-01 4.461656093166e-01 2.030162969184e+02
5.733802840848e-01 5.761350858937e-01 1.502245307495e+02
7.405491138359e-01 7.440831762227e-01 1.213657359154e+02
9.564559599018e-01 9.610204792489e-01 1.143481122258e+02
1.235310374613e+00 1.241508864471e+00 1.030306105573e+02
1.595464700520e+00 1.603797150914e+00 9.095467766616e+01
2.060621899500e+00 2.071449690395e+00 7.363309863697e+01
2.661395524022e+00 2.675355870597e+00 6.333159479484e+01
3.437324497522e+00 3.455282892247e+00 5.111220657523e+01
4.439475303322e+00 4.462680277158e+00 4.222632932107e+01
5.733802840848e+00 5.763711888688e+00 3.461200464287e+01
7.405491138359e+00 7.444214209115e+00 2.763811023328e+01
9.564559599018e+00 9.614255721841e+00 2.166754347830e+01
1.235310374613e+01 1.241699607398e+01 1.649257708192e+01
1.595464700520e+01 1.603614328685e+01 1.241342586361e+01
2.060621899500e+01 2.071035795390e+01 8.719045551546e+00
2.661395524022e+01 2.674701741082e+01 5.891003349595e+00
