s_Mpch,xi0,xi2,xi4
3.209894745117373827e+00,5.407304815044104984e+00,2.395465969350321522e+00,2.803896127258021842e+00
5.128899947712675988e+00,2.832515265942901372e+00,6.859716062269909376e-01,1.189661231898674121e+00
7.092619795922557202e+00,1.679189461019329421e+00,5.805079936948476238e-02,5.214555837836835073e-01
9.071947779088171515e+00,1.094631650564226399e+00,-1.319808218995543181e-01,2.574359604216412967e-01
1.105882702233863135e+01,7.619681431918684522e-01,-1.955770995637896859e-01,1.451217417196130621e-01
1.304970111499455676e+01,5.583333002275079338e-01,-1.889940069242651566e-01,7.702045742119689731e-02
1.504286674116636746e+01,4.232524033858852675e-01,-1.831605598819809333e-01,6.058354441758229125e-02
1.703776246796958915e+01,3.290678445651781248e-01,-1.584373906331532633e-01,3.949557727400765383e-02
1.903362967750450707e+01,2.652397572077682120e-01,-1.402437035760448203e-01,2.104744959663075107e-02
2.103034428798363109e+01,2.117905227123951239e-01,-1.244623974151772561e-01,2.154216922989787841e-02
2.302762549171718121e+01,1.738931806703516436e-01,-1.057031649681186569e-01,8.958741793187032648e-03
2.502532552314388070e+01,1.426078018509136236e-01,-9.551692575225631532e-02,1.365281543548017493e-02
2.702342918864438914e+01,1.208989310487663948e-01,-8.290474188904220498e-02,6.618122017841976748e-03
2.902167444287805154e+01,9.983728583608983409e-02,-7.770781481790492440e-02,7.649799160674979927e-03
3.102019098694148980e+01,8.556026267529472096e-02,-6.895227742283277506e-02,1.037037930893404576e-02
3.301892493984930610e+01,7.352798319571224317e-02,-6.714301641592915204e-02,5.339436878268352497e-03
3.501778671854189184e+01,6.177173589639566031e-02,-6.122716790271758025e-02,7.730186652465838304e-03
3.701674808691645069e+01,5.394708480467290401e-02,-5.285587766543925481e-02,-1.486783953570246404e-03
3.901586051493396212e+01,4.719166162996606129e-02,-5.145166115427261821e-02,7.730255956309352999e-03
4.101504493737960644e+01,3.856847460270859673e-02,-5.072646489241577211e-02,5.470989203068583537e-03
4.301432184072324816e+01,3.380807962192218519e-02,-4.511661457597256064e-02,4.914591447086925913e-03
4.501368565145712353e+01,2.937384442100873794e-02,-4.351746015351269647e-02,2.816194906947350283e-03
4.701303267918896012e+01,2.552276301787270371e-02,-3.670639456978820603e-02,2.095344968103630533e-03
4.901243741291811062e+01,2.239966007699317058e-02,-3.385781345916522023e-02,-2.856208317700035062e-04
5.101193159441925928e+01,1.980783578459802824e-02,-3.047555030919834457e-02,1.119028309365098202e-03
5.301144208186781981e+01,1.723792794427415204e-02,-2.946011994641854412e-02,1.993725822188113176e-04
5.501099137062116284e+01,1.640258556252785493e-02,-2.613406803223814606e-02,-1.952333795008120206e-04
5.701052439368966418e+01,1.457326447020606576e-02,-2.524943426845221994e-02,-1.296931873740512749e-03
5.901015000712990854e+01,1.285474931032057171e-02,-2.151645144298374585e-02,1.473895981696204819e-03
