rp_Mpch,wp
3.454374778853735450e-01,2.418587415080403957e+02
4.461679733120441083e-01,2.030540366649801172e+02
5.761391399920336998e-01,1.499803982951287935e+02
7.440850254018521737e-01,1.213147659204357183e+02
9.610200845893180910e-01,1.141886111829367820e+02
1.241513408731501622e+00,1.025918453078392645e+02
1.603798965526270104e+00,9.077504045220112516e+01
2.071447247766000199e+00,7.358317387557309530e+01
2.675355511318596502e+00,6.326765495598397138e+01
3.455281725992194630e+00,5.102339593280122187e+01
4.462679797751039956e+00,4.209981789047829182e+01
5.763709535270388429e+00,3.458677102420112703e+01
7.444214416026096792e+00,2.759588398954469923e+01
9.614264330009866910e+00,2.165211845768838117e+01
1.241700785457848077e+01,1.647279452139507328e+01
1.603616549015718107e+01,1.239142301747449437e+01
2.071040516157238542e+01,8.713557039034842688e+00
2.674711479696481220e+01,5.867508468279647893e+00
