# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 764756
# D1D2.size2 = 764756
# D1R2.size1 = 764756
# D1R2.size2 = 20500861
# R1D2.size1 = 20500861
# R1D2.size2 = 764756
# R1R2.size1 = 20500861
# R1R2.size2 = 20500861
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454380632749e-01 2.427464263080e+02
4.439475303322e-01 4.461691288945e-01 2.036773137349e+02
5.733802840848e-01 5.761388033642e-01 1.500581001134e+02
7.405491138359e-01 7.440885857821e-01 1.215455286547e+02
9.564559599018e-01 9.610213268778e-01 1.144624233212e+02
1.235310374613e+00 1.241510400607e+00 1.025583058187e+02
1.595464700520e+00 1.603797316498e+00 9.095849250028e+01
2.060621899500e+00 2.071448628927e+00 7.370634561721e+01
2.661395524022e+00 2.675353113467e+00 6.331250699837e+01
3.437324497522e+00 3.455283029853e+00 5.102815387857e+01
4.439475303322e+00 4.462680302715e+00 4.215863338040e+01
5.733802840848e+00 5.763705930491e+00 3.460410008988e+01
7.405491138359e+00 7.444209645568e+00 2.762146802560e+01
9.564559599018e+00 9.614259685094e+00 2.166390433107e+01
1.235310374613e+01 1.241699743855e+01 1.647823555937e+01
1.595464700520e+01 1.603614721404e+01 1.241355867069e+01
2.060621899500e+01 2.071037301685e+01 8.724910307878e+00
2.661395524022e+01 2.674706721399e+01 5.882270305634e+00
