# DESI DR1 LRG pycorr multipoles
# s_Mpch,xi0,xi2,xi4
# mode = smu
# autocorr = True
# D1D2.size1 = 763114
# D1D2.size2 = 763114
# D1R2.size1 = 763114
# D1R2.size2 = 20458404
# R1D2.size1 = 20458404
# R1D2.size2 = 763114
# R1R2.size1 = 20458404
# R1R2.size2 = 20458404
# los_type = midpoint
# bin_type = lin
# smid             savg               corr0(s)           corr2(s)            corr4(s)
3.000000000000e+00 3.210047664667e+00 5.413075116401e+00 2.406219594249e+00  2.831840393595e+00
5.000000000000e+00 5.128941441150e+00 2.833900661284e+00 6.888545089329e-01  1.197405478519e+00
7.000000000000e+00 7.092680460429e+00 1.681108543986e+00 6.258447716641e-02  5.261327594303e-01
9.000000000000e+00 9.071986600086e+00 1.095981716885e+00 -1.307588487271e-01 2.543765212038e-01
1.100000000000e+01 1.105887252000e+01 7.626329325741e-01 -1.964155549051e-01 1.411097258418e-01
1.300000000000e+01 1.304973510895e+01 5.587730220481e-01 -1.891028572829e-01 7.455958692235e-02
1.500000000000e+01 1.504290731977e+01 4.236060624922e-01 -1.828786578560e-01 5.937364034093e-02
1.700000000000e+01 1.703780010364e+01 3.297398734095e-01 -1.583867858549e-01 3.841680140410e-02
1.900000000000e+01 1.903367152577e+01 2.659905442556e-01 -1.409070611788e-01 2.172444959351e-02
2.100000000000e+01 2.103037809119e+01 2.122002081113e-01 -1.258602310704e-01 1.995383523645e-02
2.300000000000e+01 2.302766223898e+01 1.744838302343e-01 -1.059560671398e-01 8.799358494849e-03
2.500000000000e+01 2.502535873363e+01 1.425280131768e-01 -9.540159946504e-02 1.331386219616e-02
2.700000000000e+01 2.702346226468e+01 1.207724571005e-01 -8.297802297052e-02 6.619419570180e-03
2.900000000000e+01 2.902171247080e+01 9.962904061075e-02 -7.685521786527e-02 8.036808658542e-03
3.100000000000e+01 3.102022476111e+01 8.535757054059e-02 -6.913894678943e-02 1.134323483619e-02
3.300000000000e+01 3.301895765090e+01 7.311489316677e-02 -6.716883782273e-02 6.613792533531e-03
3.500000000000e+01 3.501781580026e+01 6.143755677492e-02 -6.128927567653e-02 8.615343140857e-03
3.700000000000e+01 3.701677869254e+01 5.350521517396e-02 -5.290065310760e-02 -7.375321665625e-04
3.900000000000e+01 3.901589050659e+01 4.664670853000e-02 -5.130878594941e-02 7.638155605016e-03
4.100000000000e+01 4.101507096298e+01 3.791238966807e-02 -5.095314236455e-02 4.668549044764e-03
4.300000000000e+01 4.301434714063e+01 3.340224667586e-02 -4.521654476337e-02 4.497514679053e-03
4.500000000000e+01 4.501371076275e+01 2.903731730458e-02 -4.332475597640e-02 2.389007507349e-03
4.700000000000e+01 4.701305838926e+01 2.508151184927e-02 -3.659317107303e-02 1.361918411197e-03
4.900000000000e+01 4.901245753880e+01 2.226583228734e-02 -3.366632177846e-02 -4.615172435477e-04
5.100000000000e+01 5.101195269151e+01 1.982222414805e-02 -3.016763852554e-02 6.671773375229e-05
5.300000000000e+01 5.301146219818e+01 1.712435395976e-02 -2.917979484570e-02 -2.113717374148e-04
5.500000000000e+01 5.501101406427e+01 1.621002043659e-02 -2.588737334709e-02 -5.345550600880e-04
5.700000000000e+01 5.701054646215e+01 1.447784936967e-02 -2.512156834072e-02 -1.058315359310e-03
5.900000000000e+01 5.901017273743e+01 1.270960160054e-02 -2.076285581569e-02 1.447023519847e-03
