alpha_s,central_log10N_median_selected,central_log10N_min_selected,chi2_density,chi2_total,chi2_wp,chi2_xi0,chi2_xi2,f_sat_actual,f_sat_target,model,model_number_density_h3_mpc3,n_allowed_sat_candidates,n_cen_target,n_gal,n_sat,n_sat_target,observed_number_density_h3_mpc3,satellite_log10N_median_selected,satellite_power,sigma_logm,status,traceback
0.9,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,2028.4904777024572,1298.738973643999,129.21431729337587,600.537186765082,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,4.592265606512769,1.0,0.25,ok,
0.5,3.680335513414563,3.4122925093230463,1.7813602962219925e-13,2920.8173167750147,2172.7806362000233,179.3243570383918,568.7123235365997,0.11999989653661006,0.12,minimal_hod,0.000531589,800000.0,3742387.0,4252712,510325,510325.0,0.0005315890336544999,4.58983794314746,1.0,0.25,ok,
0.7,3.680335513414563,3.4122925093230463,1.7813602962219925e-13,3606.80526790238,2172.8083246783503,189.36018426126896,1244.6367589627605,0.11999989653661006,0.12,minimal_hod,0.000531589,800000.0,3742387.0,4252712,510325,510325.0,0.0005315890336544999,4.58983794314746,1.0,0.25,ok,
1.3,3.680335513414563,3.4122925093230463,1.7813602962219925e-13,3677.134742227042,2173.043274974438,196.74937023553952,1307.3420970170644,0.11999989653661006,0.12,minimal_hod,0.000531589,800000.0,3742387.0,4252712,510325,510325.0,0.0005315890336544999,4.58983794314746,1.0,0.25,ok,
1.1,3.680335513414563,3.4122925093230463,1.7813602962219925e-13,3826.8326967342146,2173.036393403524,196.32006623002252,1457.476237100668,0.11999989653661006,0.12,minimal_hod,0.000531589,800000.0,3742387.0,4252712,510325,510325.0,0.0005315890336544999,4.58983794314746,1.0,0.25,ok,
0.9,3.680335513414563,3.4122925093230463,1.7813602962219925e-13,3863.16894497902,2173.0072708417324,194.27710818634685,1495.8845659509407,0.11999989653661006,0.12,minimal_hod,0.000531589,800000.0,3742387.0,4252712,510325,510325.0,0.0005315890336544999,4.58983794314746,1.0,0.25,ok,
0.5,3.6896639650157703,3.4122925093230463,1.7813602962219925e-13,6231.511252535964,4209.100000489426,292.32018479723433,1730.0910672493037,0.15000004702881362,0.15,minimal_hod,0.000531589,800000.0,3614805.0,4252712,637907,637907.0,0.0005315890336544999,4.585314059854705,1.0,0.25,ok,
0.7,3.6896639650157703,3.4122925093230463,1.7813602962219925e-13,7893.432688351141,4208.940285995633,310.09902189519914,3374.3933804603093,0.15000004702881362,0.15,minimal_hod,0.000531589,800000.0,3614805.0,4252712,637907,637907.0,0.0005315890336544999,4.585314059854705,1.0,0.25,ok,
1.3,3.6896639650157703,3.4122925093230463,1.7813602962219925e-13,7913.545499381219,4209.460907239838,321.16167419203964,3382.9229179493414,0.15000004702881362,0.15,minimal_hod,0.000531589,800000.0,3614805.0,4252712,637907,637907.0,0.0005315890336544999,4.585314059854705,1.0,0.25,ok,
1.1,3.6896639650157703,3.4122925093230463,1.7813602962219925e-13,8291.598918137062,4209.361834868444,321.083716660446,3761.1533666081727,0.15000004702881362,0.15,minimal_hod,0.000531589,800000.0,3614805.0,4252712,637907,637907.0,0.0005315890336544999,4.585314059854705,1.0,0.25,ok,
0.9,3.6896639650157703,3.4122925093230463,1.7813602962219925e-13,8425.206967993297,4209.195617207397,318.17042915416965,3897.8409216317314,0.15000004702881362,0.15,minimal_hod,0.000531589,800000.0,3614805.0,4252712,637907,637907.0,0.0005315890336544999,4.585314059854705,1.0,0.25,ok,
