# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 767398
# D1D2.size2 = 767398
# D1R2.size1 = 767398
# D1R2.size2 = 20557657
# R1D2.size1 = 20557657
# R1D2.size2 = 767398
# R1R2.size1 = 20557657
# R1R2.size2 = 20557657
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454378707481e-01 2.424306091554e+02
4.439475303322e-01 4.461668577190e-01 2.033323751683e+02
5.733802840848e-01 5.761381776946e-01 1.499044032281e+02
7.405491138359e-01 7.440846974266e-01 1.213343795791e+02
9.564559599018e-01 9.610218913948e-01 1.143749900657e+02
1.235310374613e+00 1.241512979440e+00 1.026287854318e+02
1.595464700520e+00 1.603800291311e+00 9.083319789723e+01
2.060621899500e+00 2.071449255514e+00 7.381330498657e+01
2.661395524022e+00 2.675354479772e+00 6.335709550341e+01
3.437324497522e+00 3.455283547711e+00 5.111167685009e+01
4.439475303322e+00 4.462681758167e+00 4.222315401131e+01
5.733802840848e+00 5.763709038985e+00 3.462591958428e+01
7.405491138359e+00 7.444214855025e+00 2.762547852858e+01
9.564559599018e+00 9.614264163099e+00 2.169409657855e+01
1.235310374613e+01 1.241700510830e+01 1.650552310594e+01
1.595464700520e+01 1.603615751358e+01 1.242388565044e+01
2.060621899500e+01 2.071038476290e+01 8.728327528454e+00
2.661395524022e+01 2.674708211576e+01 5.886541401385e+00
