rp_Mpch,wp
3.454371061253061481e-01,2.394667452207380620e+02
4.461691114183908846e-01,2.002790124334487132e+02
5.761305151618102416e-01,1.477567016156236548e+02
7.440757449120570799e-01,1.194484137844583813e+02
9.610106181753443888e-01,1.134615167760688905e+02
1.241498130311167181e+00,1.028278863685657853e+02
1.603790886395045412e+00,9.073772409145692563e+01
2.071450960325057711e+00,7.364835353617709757e+01
2.675346620016753274e+00,6.314545012328072460e+01
3.455268872175266903e+00,5.081943504902095299e+01
4.462661253949558926e+00,4.208568597023895563e+01
5.763684561635294301e+00,3.450339186603753205e+01
7.444162234126581623e+00,2.746465183002268517e+01
9.614185898231585981e+00,2.156249353282059644e+01
1.241687922716034898e+01,1.637283606667898539e+01
1.603593550634487386e+01,1.228160560828521852e+01
2.071002843865404230e+01,8.613725207196821998e+00
2.674652498543266077e+01,5.839490020425504468e+00
