# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 759058
# D1D2.size2 = 759058
# D1R2.size1 = 759058
# D1R2.size2 = 20435130
# R1D2.size1 = 20435130
# R1D2.size2 = 759058
# R1R2.size1 = 20435130
# R1R2.size2 = 20435130
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454371061253e-01 2.394667452207e+02
4.439475303322e-01 4.461691114184e-01 2.002790124334e+02
5.733802840848e-01 5.761305151618e-01 1.477567016156e+02
7.405491138359e-01 7.440757449121e-01 1.194484137845e+02
9.564559599018e-01 9.610106181753e-01 1.134615167761e+02
1.235310374613e+00 1.241498130311e+00 1.028278863686e+02
1.595464700520e+00 1.603790886395e+00 9.073772409146e+01
2.060621899500e+00 2.071450960325e+00 7.364835353618e+01
2.661395524022e+00 2.675346620017e+00 6.314545012328e+01
3.437324497522e+00 3.455268872175e+00 5.081943504902e+01
4.439475303322e+00 4.462661253950e+00 4.208568597024e+01
5.733802840848e+00 5.763684561635e+00 3.450339186604e+01
7.405491138359e+00 7.444162234127e+00 2.746465183002e+01
9.564559599018e+00 9.614185898232e+00 2.156249353282e+01
1.235310374613e+01 1.241687922716e+01 1.637283606668e+01
1.595464700520e+01 1.603593550634e+01 1.228160560829e+01
2.060621899500e+01 2.071002843865e+01 8.613725207197e+00
2.661395524022e+01 2.674652498543e+01 5.839490020426e+00
