rp_Mpch,wp
3.454375015644511326e-01,2.417172717872791452e+02
4.461692822757623578e-01,2.027628394830255729e+02
5.761356365160485993e-01,1.497176332718721312e+02
7.440815675477708835e-01,1.213606367627181299e+02
9.610140814963606948e-01,1.141113483902486649e+02
1.241506326660165804e+00,1.026789266109058332e+02
1.603795700348965569e+00,9.076755481739448328e+01
2.071447124566407449e+00,7.392648389359632688e+01
2.675354484717149095e+00,6.351368041049084923e+01
3.455281760161706739e+00,5.114692954617250109e+01
4.462673506492190079e+00,4.228352500038884898e+01
5.763697668614211622e+00,3.464246961046953288e+01
7.444205819665890012e+00,2.764364049635689469e+01
9.614245787499113405e+00,2.169079474933825935e+01
1.241697208420124277e+01,1.648531813697782411e+01
1.603611153451510418e+01,1.238534922256354420e+01
2.071030541465049168e+01,8.699307148519945798e+00
2.674698899657688500e+01,5.852069499441334699e+00
