# DESI DR1 LRG pycorr multipoles
# s_Mpch,xi0,xi2,xi4
# mode = smu
# autocorr = True
# D1D2.size1 = 766849
# D1D2.size2 = 766849
# D1R2.size1 = 766849
# D1R2.size2 = 20565444
# R1D2.size1 = 20565444
# R1D2.size2 = 766849
# R1R2.size1 = 20565444
# R1R2.size2 = 20565444
# los_type = midpoint
# bin_type = lin
# smid             savg               corr0(s)           corr2(s)            corr4(s)
3.000000000000e+00 3.210042372587e+00 5.405753074992e+00 2.401168001522e+00  2.824452182295e+00
5.000000000000e+00 5.128944985166e+00 2.832243414400e+00 6.807280327707e-01  1.194397115546e+00
7.000000000000e+00 7.092672147071e+00 1.681251339431e+00 6.120307524503e-02  5.259001862241e-01
9.000000000000e+00 9.071996181807e+00 1.096250465613e+00 -1.318436529021e-01 2.542077760716e-01
1.100000000000e+01 1.105888089718e+01 7.627428357971e-01 -1.951117799913e-01 1.442123831681e-01
1.300000000000e+01 1.304973975579e+01 5.588803336209e-01 -1.878981107913e-01 7.525963679214e-02
1.500000000000e+01 1.504291335911e+01 4.238114853328e-01 -1.827809552451e-01 5.985327858606e-02
1.700000000000e+01 1.703781477776e+01 3.297750235733e-01 -1.573486102076e-01 3.878944797794e-02
1.900000000000e+01 1.903367437193e+01 2.661160585874e-01 -1.401215002994e-01 2.154048830536e-02
2.100000000000e+01 2.103038146236e+01 2.126143410402e-01 -1.254444638638e-01 2.142644619191e-02
2.300000000000e+01 2.302766699372e+01 1.747515518150e-01 -1.066911019331e-01 8.782799303965e-03
2.500000000000e+01 2.502536850903e+01 1.426650511595e-01 -9.565739552332e-02 1.416310644087e-02
2.700000000000e+01 2.702347299325e+01 1.206419235733e-01 -8.342535703193e-02 7.350208262548e-03
2.900000000000e+01 2.902171681473e+01 9.996233195941e-02 -7.707705744059e-02 8.161622143536e-03
3.100000000000e+01 3.102022746304e+01 8.559390337739e-02 -6.970533332961e-02 1.115480771902e-02
3.300000000000e+01 3.301895933639e+01 7.324063808216e-02 -6.773776144734e-02 6.393190771333e-03
3.500000000000e+01 3.501782313558e+01 6.133221017713e-02 -6.183958253929e-02 8.862563797537e-03
3.700000000000e+01 3.701678388922e+01 5.344846709256e-02 -5.335816610826e-02 -6.854021531811e-04
3.900000000000e+01 3.901590131549e+01 4.657102496274e-02 -5.181503506036e-02 7.829340056167e-03
4.100000000000e+01 4.101508036835e+01 3.802081081997e-02 -5.152468427584e-02 5.055012231408e-03
4.300000000000e+01 4.301435462285e+01 3.324298699243e-02 -4.574340342806e-02 5.043123782798e-03
4.500000000000e+01 4.501371917256e+01 2.912456459192e-02 -4.372712226822e-02 2.743176625531e-03
4.700000000000e+01 4.701306830880e+01 2.515860895890e-02 -3.672301477991e-02 1.625097400456e-03
4.900000000000e+01 4.901246404643e+01 2.227960726631e-02 -3.372125514834e-02 -3.008835344841e-04
5.100000000000e+01 5.101196188948e+01 1.969392700529e-02 -3.030678251892e-02 4.845288758630e-04
5.300000000000e+01 5.301147321266e+01 1.718079081390e-02 -2.962348883123e-02 4.254149920208e-04
5.500000000000e+01 5.501102172885e+01 1.619247205291e-02 -2.619992170488e-02 1.424470451375e-04
5.700000000000e+01 5.701055613040e+01 1.454676490618e-02 -2.528997331041e-02 -7.765613861612e-04
5.900000000000e+01 5.901018076958e+01 1.279568431594e-02 -2.097585177141e-02 1.631519069037e-03
