s_Mpch,xi0,xi2,xi4
3.210054550765701009e+00,5.407567080965753448e+00,2.408188809191866842e+00,2.821717039842284613e+00
5.128941054536444000e+00,2.834206662158182954e+00,6.869150387759554999e-01,1.203448461064996255e+00
7.092664906204131370e+00,1.679365996038336695e+00,5.878612440464104499e-02,5.259198543943891524e-01
9.071986050544152747e+00,1.096705878297462577e+00,-1.317743833366863682e-01,2.560839983600028402e-01
1.105887716442021862e+01,7.618287291420413609e-01,-1.944845425119797189e-01,1.442500965679545666e-01
1.304974026631499484e+01,5.588088364790946283e-01,-1.879928194294767096e-01,7.567843084478798055e-02
1.504290051348242052e+01,4.238955808058221253e-01,-1.840603634159682089e-01,5.940157062724252951e-02
1.703780305879401524e+01,3.297096918480766359e-01,-1.580018550289949975e-01,3.933726974545983385e-02
1.903366683230150613e+01,2.659852033039328267e-01,-1.401924533886023949e-01,2.175711466159280585e-02
2.103037388142227471e+01,2.123086661918576479e-01,-1.255029260178566752e-01,2.128128853928642344e-02
2.302766341404678840e+01,1.744895228926017228e-01,-1.061156548696894353e-01,9.561523900055280897e-03
2.502536072516088339e+01,1.427822247525460941e-01,-9.553872696057938430e-02,1.428219614124268989e-02
2.702346444168087913e+01,1.207974346594646864e-01,-8.351961262580490097e-02,8.135028936626115953e-03
2.902171267446894731e+01,9.991904562912920507e-02,-7.722246180618980160e-02,9.136426605945744545e-03
3.102022418235381451e+01,8.564551403209030855e-02,-6.956999002945865596e-02,1.229323788611216481e-02
3.301895453010811110e+01,7.337208632099981309e-02,-6.767409250434805457e-02,6.832979625213544440e-03
3.501781871821319925e+01,6.136568790323672362e-02,-6.179447013361620555e-02,9.169827534330553948e-03
3.701677795628588541e+01,5.367785745441029654e-02,-5.325697619573455804e-02,-8.772504608568897511e-04
3.901589206824489509e+01,4.678622028795438592e-02,-5.183209022271237365e-02,8.015329556784273057e-03
4.101507330382945327e+01,3.819218884830821725e-02,-5.152087762269324384e-02,4.654667751113542376e-03
4.301434956063722126e+01,3.338056384586030045e-02,-4.568876942046230794e-02,4.618872343151744428e-03
4.501371345922888167e+01,2.925023895596382678e-02,-4.430494323036039683e-02,2.292701169094232827e-03
4.701306283358248805e+01,2.521280620919040538e-02,-3.724921651337911865e-02,1.075977877502898566e-03
4.901246029542364369e+01,2.240906806396245066e-02,-3.397780794617134142e-02,-6.042271227763297255e-04
5.101195552975256220e+01,1.979704859316568089e-02,-3.046408481357106360e-02,3.360494895860196142e-04
5.301146851688387329e+01,1.725753807199040257e-02,-2.955721826052515322e-02,1.358520610789093453e-04
5.501101627596356991e+01,1.633321518400112846e-02,-2.631799726432942910e-02,1.537147584869608466e-05
5.701054957301526116e+01,1.463085056528740102e-02,-2.548892264121519965e-02,-7.222260283772184014e-04
5.901017544876641097e+01,1.289743114879826971e-02,-2.095451692073531380e-02,1.664929092469101275e-03
