s_Mpch,xi0,xi2,xi4
3.210045117775755408e+00,5.404652261272570257e+00,2.398731108748669794e+00,2.824780032123264117e+00
5.128952596198480762e+00,2.830076552751923380e+00,6.830587293613616939e-01,1.201040607859400478e+00
7.092668327507407611e+00,1.679441773839413621e+00,6.125369781804718139e-02,5.278318347185755322e-01
9.071994799027519818e+00,1.095495718754185610e+00,-1.314020746543218543e-01,2.559324823599249399e-01
1.105887389894608752e+01,7.623629479908937689e-01,-1.951481521057232271e-01,1.423717266565639461e-01
1.304973800598950184e+01,5.585031207175733536e-01,-1.872629136700577068e-01,7.539641525422155488e-02
1.504290632169428577e+01,4.239376137423939706e-01,-1.833893162451052383e-01,6.032061967926997254e-02
1.703780257351539973e+01,3.301382008370670196e-01,-1.588432653936777128e-01,3.925544001522734971e-02
1.903367210339682103e+01,2.662205941912318963e-01,-1.402801767265473842e-01,2.123255819980783207e-02
2.103037790040029620e+01,2.122134901372602078e-01,-1.255202519647667103e-01,2.101257132338090611e-02
2.302766200220118975e+01,1.744251106792157613e-01,-1.067934965969326300e-01,8.654134083053533627e-03
2.502536578811525914e+01,1.427162931202485274e-01,-9.531575033492332982e-02,1.315348123456156794e-02
2.702346731804051672e+01,1.205705985065077535e-01,-8.339007131335621215e-02,7.034500901963279193e-03
2.902171686601307243e+01,9.964582661373005967e-02,-7.698412775794297169e-02,8.078288188892706473e-03
3.102022775997261306e+01,8.550350400749595625e-02,-6.892970076281708380e-02,1.169285011058089283e-02
3.301896029282178802e+01,7.334286149882780770e-02,-6.725701842621956139e-02,6.839189783662478518e-03
3.501782336457338829e+01,6.133641878061805996e-02,-6.135584097402481396e-02,8.826037553540017760e-03
3.701678372581306320e+01,5.349967170009255202e-02,-5.295936628253831296e-02,-8.855845390318606205e-04
3.901589846413938290e+01,4.665452490879206521e-02,-5.191786002711790138e-02,7.852036694094854247e-03
4.101507879081909635e+01,3.812268115390887030e-02,-5.113077826580408186e-02,5.083010750349399587e-03
4.301435670828683300e+01,3.341403010937342433e-02,-4.519936837905382671e-02,4.688451531092352118e-03
4.501371998259798346e+01,2.928620314867054486e-02,-4.366481298778063236e-02,2.432896752126836436e-03
4.701306699763399166e+01,2.520604972834822322e-02,-3.665613686703539376e-02,1.532936875228963240e-03
4.901246760525413038e+01,2.227876698353015161e-02,-3.382486859801040607e-02,-4.692062818938675219e-04
5.101196188661630515e+01,1.968566911582791262e-02,-3.034821997747259859e-02,2.976149882963676765e-04
5.301147433496549155e+01,1.712307463765272778e-02,-2.951582161754990469e-02,1.185665023971659319e-04
5.501102130508657240e+01,1.616660913288716847e-02,-2.631075625336068424e-02,-5.703537654849948416e-04
5.701055527407449830e+01,1.463414727198083728e-02,-2.535073029829716315e-02,-1.020007514634945845e-03
5.901018307205639957e+01,1.289360650404370104e-02,-2.100750727081918817e-02,1.143384765018938933e-03
