# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 764173
# D1D2.size2 = 764173
# D1R2.size1 = 764173
# D1R2.size2 = 20457244
# R1D2.size1 = 20457244
# R1D2.size2 = 764173
# R1R2.size1 = 20457244
# R1R2.size2 = 20457244
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454367430902e-01 2.426578128849e+02
4.439475303322e-01 4.461618968050e-01 2.030126019341e+02
5.733802840848e-01 5.761398736322e-01 1.496980162729e+02
7.405491138359e-01 7.440851878310e-01 1.214805532058e+02
9.564559599018e-01 9.610186486831e-01 1.145195861205e+02
1.235310374613e+00 1.241513598136e+00 1.026866541638e+02
1.595464700520e+00 1.603801179863e+00 9.067513731217e+01
2.060621899500e+00 2.071448937959e+00 7.382001353880e+01
2.661395524022e+00 2.675350661492e+00 6.330140390673e+01
3.437324497522e+00 3.455282024100e+00 5.108395608531e+01
4.439475303322e+00 4.462680614137e+00 4.222057565853e+01
5.733802840848e+00 5.763712517648e+00 3.456222263171e+01
7.405491138359e+00 7.444212785215e+00 2.764350928775e+01
9.564559599018e+00 9.614262152627e+00 2.168092563397e+01
1.235310374613e+01 1.241699177335e+01 1.650754776554e+01
1.595464700520e+01 1.603615368646e+01 1.242857544157e+01
2.060621899500e+01 2.071037222961e+01 8.737464633281e+00
2.661395524022e+01 2.674707949633e+01 5.883256231498e+00
