rp_Mpch,wp
3.454367430902023917e-01,2.426578128849111522e+02
4.461618968049532175e-01,2.030126019340683001e+02
5.761398736322206338e-01,1.496980162728744119e+02
7.440851878310408285e-01,1.214805532058413178e+02
9.610186486831290287e-01,1.145195861204850303e+02
1.241513598135635998e+00,1.026866541638013928e+02
1.603801179863325599e+00,9.067513731216772044e+01
2.071448937959296632e+00,7.382001353879674355e+01
2.675350661492401194e+00,6.330140390672602280e+01
3.455282024100118754e+00,5.108395608530662457e+01
4.462680614136620427e+00,4.222057565852770722e+01
5.763712517647528344e+00,3.456222263171177644e+01
7.444212785215352568e+00,2.764350928774790006e+01
9.614262152626805502e+00,2.168092563396534800e+01
1.241699177334838922e+01,1.650754776554465053e+01
1.603615368645668582e+01,1.242857544157454441e+01
2.071037222960850954e+01,8.737464633281494031e+00
2.674707949632574966e+01,5.883256231497899336e+00
