rp_Mpch,wp
3.454361780189561526e-01,2.414666269372943930e+02
4.461632323441636627e-01,2.025142049461469469e+02
5.761365499207735663e-01,1.486829211765261221e+02
7.440774772466892673e-01,1.210450018241639043e+02
9.610119419223347448e-01,1.140299961046592472e+02
1.241505756054539722e+00,1.023879653580393381e+02
1.603801127122441716e+00,9.099479310382938024e+01
2.071441826459607505e+00,7.390792127398600542e+01
2.675351921840216640e+00,6.346071354635485307e+01
3.455272439980184629e+00,5.119674143928513388e+01
4.462678183444841018e+00,4.234229827691599723e+01
5.763693157223046981e+00,3.472201743142215236e+01
7.444197112265855232e+00,2.771967987423557389e+01
9.614233698591684529e+00,2.169551113928566721e+01
1.241695973315669477e+01,1.653335416709224504e+01
1.603608311246156504e+01,1.244758976443786480e+01
2.071027451445192824e+01,8.747073707526572761e+00
2.674692853219900712e+01,5.889771748964493625e+00
