# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 763589
# D1D2.size2 = 763589
# D1R2.size1 = 763589
# D1R2.size2 = 20526825
# R1D2.size1 = 20526825
# R1D2.size2 = 763589
# R1R2.size1 = 20526825
# R1R2.size2 = 20526825
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454361780190e-01 2.414666269373e+02
4.439475303322e-01 4.461632323442e-01 2.025142049461e+02
5.733802840848e-01 5.761365499208e-01 1.486829211765e+02
7.405491138359e-01 7.440774772467e-01 1.210450018242e+02
9.564559599018e-01 9.610119419223e-01 1.140299961047e+02
1.235310374613e+00 1.241505756055e+00 1.023879653580e+02
1.595464700520e+00 1.603801127122e+00 9.099479310383e+01
2.060621899500e+00 2.071441826460e+00 7.390792127399e+01
2.661395524022e+00 2.675351921840e+00 6.346071354635e+01
3.437324497522e+00 3.455272439980e+00 5.119674143929e+01
4.439475303322e+00 4.462678183445e+00 4.234229827692e+01
5.733802840848e+00 5.763693157223e+00 3.472201743142e+01
7.405491138359e+00 7.444197112266e+00 2.771967987424e+01
9.564559599018e+00 9.614233698592e+00 2.169551113929e+01
1.235310374613e+01 1.241695973316e+01 1.653335416709e+01
1.595464700520e+01 1.603608311246e+01 1.244758976444e+01
2.060621899500e+01 2.071027451445e+01 8.747073707527e+00
2.661395524022e+01 2.674692853220e+01 5.889771748964e+00
