model_id,model_label,selected_for_paper,selection_reason,f_sat_target,alpha_s,n_gal,n_sat,f_sat_actual,model_number_density_h3_mpc3,index,component,statistic,ell,r,data_value,model_value,residual,fractional_residual,sigma_jk,pull_jk,diagcov_chi2_total,diagcov_chi2_cov,diagcov_chi2_total_cov,diagcov_chi2_xi0,diagcov_chi2_xi2,diagcov_chi2_wp,diagcov_rank,fullcov_chi2_total,fullcov_chi2_cov,fullcov_chi2_total_cov,fullcov_chi2_xi0,fullcov_chi2_xi2,fullcov_chi2_wp,fullcov_rank
abacusL500_fsat0p030_alphaS0p800,"f_sat=0.03, alpha_s=0.8",1,diagcov_top5;fullcov_top5,0.03,0.8,66449,1993,0.02999292690634923,0.000531592,0,wp,wp,-1,0.5761356451482574,149.51176990606234,293.2115046963551,143.69973479029278,0.9611265713768138,5.865219849293783,24.50031515998421,341.2441554937999,911.3338930750564,911.3338930764403,25.899548177499376,118.57155768290015,196.77304963201647,5,341.2441554937999,985.1311811374918,985.1311811388757,25.899548177499376,118.57155768290015,196.77304963201647,1
abacusL500_fsat0p030_alphaS0p800,"f_sat=0.03, alpha_s=0.8",1,diagcov_top5;fullcov_top5,0.03,0.8,66449,1993,0.02999292690634923,0.000531592,1,wp,wp,-1,0.7440818690302262,121.03230399888947,230.0676331738935,109.03532917500404,0.9008779108757979,4.57043295908947,23.856674006815812,341.2441554937999,911.3338930750564,911.3338930764403,25.899548177499376,118.57155768290015,196.77304963201647,5,341.2441554937999,985.1311811374918,985.1311811388757,25.899548177499376,118.57155768290015,196.77304963201647,1
abacusL500_fsat0p030_alphaS0p800,"f_sat=0.03, alpha_s=0.8",1,diagcov_top5;fullcov_top5,0.03,0.8,66449,1993,0.02999292690634923,0.000531592,2,wp,wp,-1,0.9610170497889371,114.26425022791021,162.12999333295244,47.86574310504223,0.4189039267274738,2.5161277224770977,19.023574470185867,341.2441554937999,911.3338930750564,911.3338930764403,25.899548177499376,118.57155768290015,196.77304963201647,5,341.2441554937999,985.1311811374918,985.1311811388757,25.899548177499376,118.57155768290015,196.77304963201647,1
abacusL500_fsat0p030_alphaS0p800,"f_sat=0.03, alpha_s=0.8",1,diagcov_top5;fullcov_top5,0.03,0.8,66449,1993,0.02999292690634923,0.000531592,3,wp,wp,-1,1.2415081573690936,102.69740736077637,120.77595129941042,18.078543938634056,0.17603700427532765,1.7131764815272914,10.552645412524628,341.2441554937999,911.3338930750564,911.3338930764403,25.899548177499376,118.57155768290015,196.77304963201647,5,341.2441554937999,985.1311811374918,985.1311811388757,25.899548177499376,118.57155768290015,196.77304963201647,1
abacusL500_fsat0p030_alphaS0p800,"f_sat=0.03, alpha_s=0.8",1,diagcov_top5;fullcov_top5,0.03,0.8,66449,1993,0.02999292690634923,0.000531592,4,wp,wp,-1,1.6037983331351233,90.85959457760322,94.5513081238426,3.6917135462393844,0.0406309709326987,1.1884423909550974,3.106346234647959,341.2441554937999,911.3338930750564,911.3338930764403,25.899548177499376,118.57155768290015,196.77304963201647,5,341.2441554937999,985.1311811374918,985.1311811388757,25.899548177499376,118.57155768290015,196.77304963201647,1
abacusL500_fsat0p030_alphaS0p800,"f_sat=0.03, alpha_s=0.8",1,diagcov_top5;fullcov_top5,0.03,0.8,66449,1993,0.02999292690634923,0.000531592,5,wp,wp,-1,2.0714477629787083,73.73338067340984,79.35473385092521,5.621353177515374,0.07623891819655272,1.0170118355224675,5.52732326328093,341.2441554937999,911.3338930750564,911.3338930764403,25.899548177499376,118.57155768290015,196.77304963201647,5,341.2441554937999,985.1311811374918,985.1311811388757,25.899548177499376,118.57155768290015,196.77304963201647,1
abacusL500_fsat0p030_alphaS0p800,"f_sat=0.03, alpha_s=0.8",1,diagcov_top5;fullcov_top5,0.03,0.8,66449,1993,0.02999292690634923,0.000531592,6,wp,wp,-1,2.6753529170231105,63.33993711064611,65.71291155694865,2.3729744463025426,0.037464111184027295,0.9093219134981789,2.609608776691265,341.2441554937999,911.3338930750564,911.3338930764403,25.899548177499376,118.57155768290015,196.77304963201647,5,341.2441554937999,985.1311811374918,985.1311811388757,25.899548177499376,118.57155768290015,196.77304963201647,1
abacusL500_fsat0p030_alphaS0p800,"f_sat=0.03, alpha_s=0.8",1,diagcov_top5;fullcov_top5,0.03,0.8,66449,1993,0.02999292690634923,0.000531592,7,wp,wp,-1,3.4552810127626836,51.078412803609105,54.60860466606534,3.5301918624562347,0.06911318634800645,0.8167520817961734,4.322231851179071,341.2441554937999,911.3338930750564,911.3338930764403,25.899548177499376,118.57155768290015,196.77304963201647,5,341.2441554937999,985.1311811374918,985.1311811388757,25.899548177499376,118.57155768290015,196.77304963201647,1
abacusL500_fsat0p030_alphaS0p800,"f_sat=0.03, alpha_s=0.8",1,diagcov_top5;fullcov_top5,0.03,0.8,66449,1993,0.02999292690634923,0.000531592,8,wp,wp,-1,4.462678487403257,42.182354531502014,45.48645919566054,3.3041046641585226,0.07832907150052515,0.7297684615007346,4.52760682116049,341.2441554937999,911.3338930750564,911.3338930764403,25.899548177499376,118.57155768290015,196.77304963201647,5,341.2441554937999,985.1311811374918,985.1311811388757,25.899548177499376,118.57155768290015,196.77304963201647,1
abacusL500_fsat0p030_alphaS0p800,"f_sat=0.03, alpha_s=0.8",1,diagcov_top5;fullcov_top5,0.03,0.8,66449,1993,0.02999292690634923,0.000531592,9,wp,wp,-1,5.763705166875068,34.61043607011526,35.34767043347486,0.7372343633595975,0.021300926745507553,0.6227313047655263,1.1838723342119188,341.2441554937999,911.3338930750564,911.3338930764403,25.899548177499376,118.57155768290015,196.77304963201647,5,341.2441554937999,985.1311811374918,985.1311811388757,25.899548177499376,118.57155768290015,196.77304963201647,1
