model_id,component,n_bins,f_sat_target,alpha_s,f_sat_actual,rms_fractional_residual,mean_abs_fractional_residual,chi2_diag_jk_raw,rms_pull_jk,selected_for_paper,selection_reason,diagcov_chi2_total,diagcov_chi2_cov,diagcov_chi2_total_cov,diagcov_chi2_xi0,diagcov_chi2_xi2,diagcov_chi2_wp,diagcov_rank,fullcov_chi2_total,fullcov_chi2_cov,fullcov_chi2_total_cov,fullcov_chi2_xi0,fullcov_chi2_xi2,fullcov_chi2_wp,fullcov_rank
abacusL500_fsat0p000_alphaS1p000,xi0,28,0.0,1.0,0.0,0.23925149608023097,0.16002581983638264,1548.2681705169305,7.436080405978414,0,,826.562862729002,1289.079056022244,1289.0790560236278,27.00947538563762,784.3829095675811,15.170477774399316,19,826.562862729002,1112.616696058762,1112.6166960601458,27.00947538563762,784.3829095675811,15.170477774399316,15
abacusL500_fsat0p000_alphaS1p000,xi2,28,0.0,1.0,0.0,1.8222831724317046,0.6850254246390562,3836.475769213002,11.705425740126124,0,,826.562862729002,1289.079056022244,1289.0790560236278,27.00947538563762,784.3829095675811,15.170477774399316,19,826.562862729002,1112.616696058762,1112.6166960601458,27.00947538563762,784.3829095675811,15.170477774399316,15
abacusL500_fsat0p000_alphaS1p200,all,72,0.0,1.2,0.0,1.1470864720438179,0.34383250332971854,5566.477741914237,8.792735118262119,0,,826.562862729002,1289.079056022244,1289.0790560236278,27.00947538563762,784.3829095675811,15.170477774399316,20,826.562862729002,1112.616696058762,1112.6166960601458,27.00947538563762,784.3829095675811,15.170477774399316,16
abacusL500_fsat0p000_alphaS1p200,wp,16,0.0,1.2,0.0,0.09852926709369056,0.0684065871517154,181.73380218430339,3.370217001399014,0,,826.562862729002,1289.079056022244,1289.0790560236278,27.00947538563762,784.3829095675811,15.170477774399316,20,826.562862729002,1112.616696058762,1112.6166960601458,27.00947538563762,784.3829095675811,15.170477774399316,16
abacusL500_fsat0p000_alphaS1p200,xi0,28,0.0,1.2,0.0,0.23925149608023097,0.16002581983638264,1548.2681705169305,7.436080405978414,0,,826.562862729002,1289.079056022244,1289.0790560236278,27.00947538563762,784.3829095675811,15.170477774399316,20,826.562862729002,1112.616696058762,1112.6166960601458,27.00947538563762,784.3829095675811,15.170477774399316,16
abacusL500_fsat0p000_alphaS1p200,xi2,28,0.0,1.2,0.0,1.8222831724317046,0.6850254246390562,3836.475769213002,11.705425740126124,0,,826.562862729002,1289.079056022244,1289.0790560236278,27.00947538563762,784.3829095675811,15.170477774399316,20,826.562862729002,1112.616696058762,1112.6166960601458,27.00947538563762,784.3829095675811,15.170477774399316,16
abacusL500_fsat0p010_alphaS0p600,all,72,0.01,0.6,0.009992625923640686,0.9055873600204993,0.2974559097178558,4250.63053872943,7.683523622670198,0,,568.6486248118599,984.3565458110261,984.35654581241,18.57758868237361,501.95572011728143,48.115316010821,11,568.6486248118599,1020.985004381158,1020.9850043825419,18.57758868237361,501.95572011728143,48.115316010821,6
abacusL500_fsat0p010_alphaS0p600,wp,16,0.01,0.6,0.009992625923640686,0.17357777537171815,0.09149802407231879,392.7391305134596,4.9544117367343645,0,,568.6486248118599,984.3565458110261,984.35654581241,18.57758868237361,501.95572011728143,48.115316010821,11,568.6486248118599,1020.985004381158,1020.9850043825419,18.57758868237361,501.95572011728143,48.115316010821,6
abacusL500_fsat0p010_alphaS0p600,xi0,28,0.01,0.6,0.009992625923640686,0.21154814835487049,0.13237276792539807,1156.517612673972,6.426834403704662,0,,568.6486248118599,984.3565458110261,984.35654581241,18.57758868237361,501.95572011728143,48.115316010821,11,568.6486248118599,1020.985004381158,1020.9850043825419,18.57758868237361,501.95572011728143,48.115316010821,6
abacusL500_fsat0p010_alphaS0p600,xi2,28,0.01,0.6,0.009992625923640686,1.4306745207070064,0.5802292718791919,2701.3737955419992,9.822302965958208,0,,568.6486248118599,984.3565458110261,984.35654581241,18.57758868237361,501.95572011728143,48.115316010821,11,568.6486248118599,1020.985004381158,1020.9850043825419,18.57758868237361,501.95572011728143,48.115316010821,6
abacusL500_fsat0p010_alphaS0p800,all,72,0.01,0.8,0.009992625923640686,0.8933405221264935,0.2913312772128319,4091.880226268342,7.53867825346609,0,,548.6344662324408,947.5933155568792,947.5933155582632,18.533312410109808,481.96820302994735,48.13295079099969,8,548.6344662324408,1021.8895646353138,1021.8895646366977,18.533312410109808,481.96820302994735,48.13295079099969,7
abacusL500_fsat0p010_alphaS0p800,wp,16,0.01,0.8,0.009992625923640686,0.17360798308931444,0.09153035463409323,393.0966608833449,4.956666349998661,0,,548.6344662324408,947.5933155568792,947.5933155582632,18.533312410109808,481.96820302994735,48.13295079099969,8,548.6344662324408,1021.8895646353138,1021.8895646366977,18.533312410109808,481.96820302994735,48.13295079099969,7
abacusL500_fsat0p010_alphaS0p800,xi0,28,0.01,0.8,0.009992625923640686,0.2105140543111888,0.1314553529420394,1173.86503096363,6.474855296131638,0,,548.6344662324408,947.5933155568792,947.5933155582632,18.533312410109808,481.96820302994735,48.13295079099969,8,548.6344662324408,1021.8895646353138,1021.8895646366977,18.533312410109808,481.96820302994735,48.13295079099969,7
abacusL500_fsat0p010_alphaS0p800,xi2,28,0.01,0.8,0.009992625923640686,1.410889238130698,0.5653791572429036,2524.9185344213683,9.496086664706693,0,,548.6344662324408,947.5933155568792,947.5933155582632,18.533312410109808,481.96820302994735,48.13295079099969,8,548.6344662324408,1021.8895646353138,1021.8895646366977,18.533312410109808,481.96820302994735,48.13295079099969,7
abacusL500_fsat0p010_alphaS1p000,all,72,0.01,1.0,0.009992625923640686,0.9041039150103134,0.29019417221302785,4113.237677223416,7.5583266053106914,0,,553.8357125876105,952.5392515675278,952.5392515689117,18.661937278681478,486.99710620741433,48.17666910013073,9,553.8357125876105,1066.557044071422,1066.5570440728059,18.661937278681478,486.99710620741433,48.17666910013073,9
abacusL500_fsat0p010_alphaS1p000,wp,16,0.01,1.0,0.009992625923640686,0.1736849731843637,0.09156180034478573,393.2627407306068,4.957713313178055,0,,553.8357125876105,952.5392515675278,952.5392515689117,18.661937278681478,486.99710620741433,48.17666910013073,9,553.8357125876105,1066.557044071422,1066.5570440728059,18.661937278681478,486.99710620741433,48.17666910013073,9
abacusL500_fsat0p010_alphaS1p000,xi0,28,0.01,1.0,0.009992625923640686,0.21002947355985116,0.13040381244647276,1217.141024773505,6.593126899532533,0,,553.8357125876105,952.5392515675278,952.5392515689117,18.661937278681478,486.99710620741433,48.17666910013073,9,553.8357125876105,1066.557044071422,1066.5570440728059,18.661937278681478,486.99710620741433,48.17666910013073,9
abacusL500_fsat0p010_alphaS1p000,xi2,28,0.01,1.0,0.009992625923640686,1.4284765844612506,0.5634887444757214,2502.833911719303,9.454465898111144,0,,553.8357125876105,952.5392515675278,952.5392515689117,18.661937278681478,486.99710620741433,48.17666910013073,9,553.8357125876105,1066.557044071422,1066.5570440728059,18.661937278681478,486.99710620741433,48.17666910013073,9
abacusL500_fsat0p010_alphaS1p200,all,72,0.01,1.2,0.009992625923640686,0.9225463778041625,0.29152751015666534,4138.187238584531,7.581215124115559,0,,567.6817395036392,958.3170447248389,958.3170447262228,18.597273012298974,500.9196312777062,48.16483521225004,10,567.6817395036392,1091.6259303035358,1091.6259303049196,18.597273012298974,500.9196312777062,48.16483521225004,11
abacusL500_fsat0p010_alphaS1p200,wp,16,0.01,1.2,0.009992625923640686,0.17366022833516873,0.09151933566272608,392.9993156402111,4.956052585224777,0,,567.6817395036392,958.3170447248389,958.3170447262228,18.597273012298974,500.9196312777062,48.16483521225004,10,567.6817395036392,1091.6259303035358,1091.6259303049196,18.597273012298974,500.9196312777062,48.16483521225004,11
abacusL500_fsat0p010_alphaS1p200,xi0,28,0.01,1.2,0.009992625923640686,0.20912252340349016,0.12916034703670448,1234.5703693610596,6.640165578187951,0,,567.6817395036392,958.3170447248389,958.3170447262228,18.597273012298974,500.9196312777062,48.16483521225004,10,567.6817395036392,1091.6259303035358,1091.6259303049196,18.597273012298974,500.9196312777062,48.16483521225004,11
abacusL500_fsat0p010_alphaS1p200,xi2,28,0.01,1.2,0.009992625923640686,1.4586145891323556,0.5681850587017344,2510.61755358326,9.469155856145445,0,,567.6817395036392,958.3170447248389,958.3170447262228,18.597273012298974,500.9196312777062,48.16483521225004,10,567.6817395036392,1091.6259303035358,1091.6259303049196,18.597273012298974,500.9196312777062,48.16483521225004,11
abacusL500_fsat0p020_alphaS0p600,all,72,0.02,0.6,0.020000300982708545,0.7130766669659423,0.27888644108591903,4068.2371802454413,7.5168673109265125,1,fullcov_top5,447.6694068108782,942.1180838463126,942.1180838476965,21.42408823403537,317.9211636764837,108.32415489897522,7,447.6694068108782,1005.9124738954335,1005.9124738968175,21.42408823403537,317.9211636764837,108.32415489897522,5
abacusL500_fsat0p020_alphaS0p600,wp,16,0.02,0.6,0.020000300982708545,0.26026902310625777,0.13148866708173088,922.0608107386669,7.591363558094598,1,fullcov_top5,447.6694068108782,942.1180838463126,942.1180838476965,21.42408823403537,317.9211636764837,108.32415489897522,7,447.6694068108782,1005.9124738954335,1005.9124738968175,21.42408823403537,317.9211636764837,108.32415489897522,5
abacusL500_fsat0p020_alphaS0p600,xi0,28,0.02,0.6,0.020000300982708545,0.23783005129615653,0.14558621982659403,1156.3195912229587,6.426284171896136,1,fullcov_top5,447.6694068108782,942.1180838463126,942.1180838476965,21.42408823403537,317.9211636764837,108.32415489897522,7,447.6694068108782,1005.9124738954335,1005.9124738968175,21.42408823403537,317.9211636764837,108.32415489897522,5
abacusL500_fsat0p020_alphaS0p600,xi2,28,0.02,0.6,0.020000300982708545,1.101019540687576,0.4964139617762087,1989.856778283816,8.430083837669486,1,fullcov_top5,447.6694068108782,942.1180838463126,942.1180838476965,21.42408823403537,317.9211636764837,108.32415489897522,7,447.6694068108782,1005.9124738954335,1005.9124738968175,21.42408823403537,317.9211636764837,108.32415489897522,5
abacusL500_fsat0p020_alphaS0p800,all,72,0.02,0.8,0.020000300982708545,0.6815918598106986,0.266180231808761,3757.4308456511753,7.224025160735045,1,diagcov_top5;fullcov_top5,408.40784446096643,870.1418800455355,870.1418800469194,21.34255198070506,278.6825537619097,108.3827387169678,3,408.40784446096643,998.4489271880972,998.4489271894811,21.34255198070506,278.6825537619097,108.3827387169678,2
abacusL500_fsat0p020_alphaS0p800,wp,16,0.02,0.8,0.020000300982708545,0.2603382975023486,0.13162528759039793,923.3783527288844,7.596785309955473,1,diagcov_top5;fullcov_top5,408.40784446096643,870.1418800455355,870.1418800469194,21.34255198070506,278.6825537619097,108.3827387169678,3,408.40784446096643,998.4489271880972,998.4489271894811,21.34255198070506,278.6825537619097,108.3827387169678,2
abacusL500_fsat0p020_alphaS0p800,xi0,28,0.02,0.8,0.020000300982708545,0.23645961608595215,0.144886860435312,1171.2409306678126,6.467614184391039,1,diagcov_top5;fullcov_top5,408.40784446096643,870.1418800455355,870.1418800469194,21.34255198070506,278.6825537619097,108.3827387169678,3,408.40784446096643,998.4489271880972,998.4489271894811,21.34255198070506,278.6825537619097,108.3827387169678,2
abacusL500_fsat0p020_alphaS0p800,xi2,28,0.02,0.8,0.020000300982708545,1.0487896543581918,0.46436214273556026,1662.811562254478,7.706239499481846,1,diagcov_top5;fullcov_top5,408.40784446096643,870.1418800455355,870.1418800469194,21.34255198070506,278.6825537619097,108.3827387169678,3,408.40784446096643,998.4489271880972,998.4489271894811,21.34255198070506,278.6825537619097,108.3827387169678,2
abacusL500_fsat0p020_alphaS1p000,all,72,0.02,1.0,0.020000300982708545,0.6976568587846359,0.2632829288377617,3730.19055333933,7.197791475842636,1,diagcov_top5,412.0011301030896,863.83360182595,863.833601827334,21.426875867165233,282.3284698585631,108.24578437597738,1,412.0011301030896,1068.1401754230826,1068.1401754244664,21.426875867165233,282.3284698585631,108.24578437597738,10
abacusL500_fsat0p020_alphaS1p000,wp,16,0.02,1.0,0.020000300982708545,0.2601727471355516,0.13147534311694042,921.1299375391943,7.58753063230717,1,diagcov_top5,412.0011301030896,863.83360182595,863.833601827334,21.426875867165233,282.3284698585631,108.24578437597738,1,412.0011301030896,1068.1401754230826,1068.1401754244664,21.426875867165233,282.3284698585631,108.24578437597738,10
abacusL500_fsat0p020_alphaS1p000,xi0,28,0.02,1.0,0.020000300982708545,0.23545407450546202,0.14415031207323367,1212.1094546979953,6.579485039277106,1,diagcov_top5,412.0011301030896,863.83360182595,863.833601827334,21.426875867165233,282.3284698585631,108.24578437597738,1,412.0011301030896,1068.1401754230826,1068.1401754244664,21.426875867165233,282.3284698585631,108.24578437597738,10
abacusL500_fsat0p020_alphaS1p000,xi2,28,0.02,1.0,0.020000300982708545,1.0758532749901761,0.4577341660141876,1596.9511611021403,7.552083820996835,1,diagcov_top5,412.0011301030896,863.83360182595,863.833601827334,21.426875867165233,282.3284698585631,108.24578437597738,1,412.0011301030896,1068.1401754230826,1068.1401754244664,21.426875867165233,282.3284698585631,108.24578437597738,10
abacusL500_fsat0p020_alphaS1p200,all,72,0.02,1.2,0.020000300982708545,0.7247141741845354,0.2647097491586558,3755.182870249195,7.221863862075352,1,diagcov_top5,427.53826012649336,869.6212962682343,869.6212962696183,21.271481772789752,298.0052639016608,108.26151445065894,2,427.53826012649336,1113.7284048807103,1113.728404882094,21.271481772789752,298.0052639016608,108.26151445065894,17
