rp_Mpch,wp
3.454368158796349841e-01,2.411933135777686914e+02
4.461677199457370624e-01,2.025972429223908762e+02
5.761345269477868847e-01,1.491928435898646228e+02
7.440857410230019564e-01,1.205063380847345513e+02
9.610210197413807665e-01,1.143268742042990169e+02
1.241509460742756810e+00,1.026622041770283147e+02
1.603797446955782746e+00,9.087728508183937493e+01
2.071448372544216099e+00,7.363140696332609991e+01
2.675353455893167975e+00,6.330423129104897129e+01
3.455284489497368217e+00,5.111924860730312048e+01
4.462676370711341711e+00,4.216519999844117450e+01
5.763704258776927603e+00,3.460954395037960296e+01
7.444208493964441509e+00,2.757975034364172728e+01
9.614252087732721108e+00,2.166968157648214799e+01
1.241698151013116380e+01,1.646202551554875626e+01
1.603612467751799997e+01,1.240034447745713386e+01
2.071033973395694616e+01,8.707751759020869287e+00
2.674702085622540437e+01,5.879449186842768071e+00
