# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 764151
# D1D2.size2 = 764151
# D1R2.size1 = 764151
# D1R2.size2 = 20484956
# R1D2.size1 = 20484956
# R1D2.size2 = 764151
# R1R2.size1 = 20484956
# R1R2.size2 = 20484956
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454357521292e-01 2.423872375926e+02
4.439475303322e-01 4.461665341071e-01 2.033907477255e+02
5.733802840848e-01 5.761368778130e-01 1.501275739386e+02
7.405491138359e-01 7.440852077857e-01 1.212921224839e+02
9.564559599018e-01 9.610184903711e-01 1.145020345194e+02
1.235310374613e+00 1.241507761973e+00 1.029435375705e+02
1.595464700520e+00 1.603800693830e+00 9.102122099498e+01
2.060621899500e+00 2.071451012615e+00 7.384826258680e+01
2.661395524022e+00 2.675351263224e+00 6.340672418632e+01
3.437324497522e+00 3.455279920428e+00 5.119707200183e+01
4.439475303322e+00 4.462679420899e+00 4.224305957687e+01
5.733802840848e+00 5.763702411399e+00 3.466890199727e+01
7.405491138359e+00 7.444209068896e+00 2.765646722776e+01
9.564559599018e+00 9.614252282136e+00 2.172486935094e+01
1.235310374613e+01 1.241698648546e+01 1.649170932558e+01
1.595464700520e+01 1.603613824523e+01 1.241865105823e+01
2.060621899500e+01 2.071035739436e+01 8.737481474622e+00
2.661395524022e+01 2.674704347792e+01 5.894519219973e+00
